idx,label,x,y,timestamp
0,v,52,174,252784996
1,v,54,174,252785051
2,v,56,175,252785064
3,v,59,177,252785076
4,v,60,180,252785085
5,v,62,183,252785093
6,v,64,186,252785101
7,v,67,189,252785109
8,v,68,191,252785116
9,v,70,196,252785122
10,v,73,201,252785129
11,v,74,204,252785136
12,v,75,206,252785137
13,v,76,209,252785145
14,v,77,212,252785146
15,v,80,216,252785154
16,v,82,221,252785162
17,v,84,225,252785171
18,v,87,230,252785180
19,v,89,233,252785188
20,v,90,236,252785189
21,v,92,240,252785198
22,v,94,244,252785208
23,v,97,248,252785218
24,v,98,251,252785228
25,v,100,254,252785238
26,v,101,257,252785248
27,v,102,259,252785249
28,v,103,261,252785260
29,v,103,264,252785271
30,v,103,266,252785282
31,v,104,264,252785335
32,v,104,262,252785346
33,v,104,259,252785359
34,v,105,254,252785371
35,v,105,249,252785384
36,v,106,246,252785397
37,v,109,235,252785411
38,v,111,225,252785424
39,v,114,216,252785437
40,v,115,212,252785438
41,v,119,202,252785452
42,v,125,189,252785467
43,v,130,180,252785481
44,v,131,177,252785482
45,v,136,170,252785497
46,v,138,167,252785498
47,v,143,160,252785513
48,v,148,154,252785528
49,v,151,151,252785543
50,v,153,151,252785559
51,v,155,151,252785586
52,v,156,153,252785611
