idx,label,x,y,timestamp
0,v,59,163,125505183
1,v,61,163,125505235
2,v,63,162,125505251
3,v,66,162,125505267
4,v,68,162,125505279
5,v,70,161,125505287
6,v,73,161,125505295
7,v,76,161,125505303
8,v,79,161,125505311
9,v,81,161,125505318
10,v,84,161,125505326
11,v,88,162,125505333
12,v,91,164,125505340
13,v,94,167,125505348
14,v,97,169,125505355
15,v,99,173,125505364
16,v,101,175,125505372
17,v,104,181,125505380
18,v,106,185,125505389
19,v,108,190,125505398
20,v,111,198,125505408
21,v,113,205,125505417
22,v,114,212,125505427
23,v,115,214,125505428
24,v,116,219,125505438
25,v,117,225,125505448
26,v,117,229,125505458
27,v,118,232,125505459
28,v,118,235,125505470
29,v,119,237,125505481
30,v,119,239,125505492
31,v,122,241,125505511
32,v,123,239,125505523
33,v,127,234,125505535
34,v,130,227,125505548
35,v,134,220,125505562
36,v,141,209,125505577
37,v,149,197,125505592
38,v,156,184,125505607
39,v,162,174,125505623
40,v,164,172,125505624
41,v,171,160,125505640
42,v,177,153,125505656
43,v,183,145,125505670
44,v,185,143,125505671
45,v,190,138,125505686
46,v,195,134,125505701
