idx,label,x,y,timestamp
0,v,101,175,10445952
1,v,103,176,10445993
2,v,104,178,10446018
3,v,106,180,10446033
4,v,109,183,10446050
5,v,110,186,10446058
6,v,112,188,10446067
7,v,114,192,10446075
8,v,115,194,10446082
9,v,116,196,10446089
10,v,120,202,10446096
11,v,122,206,10446104
12,v,124,211,10446112
13,v,126,215,10446120
14,v,129,218,10446128
15,v,131,221,10446136
16,v,133,222,10446145
17,v,134,225,10446154
18,v,136,227,10446163
19,v,138,229,10446172
20,v,141,228,10446187
21,v,143,228,10446203
22,v,145,226,10446215
23,v,147,223,10446225
24,v,150,218,10446236
25,v,152,212,10446247
26,v,155,207,10446258
27,v,157,198,10446271
28,v,158,196,10446272
29,v,162,187,10446284
30,v,165,178,10446296
31,v,169,170,10446309
32,v,172,162,10446323
33,v,177,154,10446336
34,v,178,150,10446349
35,v,181,148,10446362
36,v,182,146,10446363
37,v,183,144,10446377
38,v,185,141,10446392
39,v,186,139,10446441
