idx,label,x,y,timestamp
0,v,95,174,10459146
1,v,97,176,10459199
2,v,100,177,10459227
3,v,101,179,10459236
4,v,102,181,10459244
5,v,104,184,10459252
6,v,106,187,10459260
7,v,108,191,10459268
8,v,110,193,10459275
9,v,113,198,10459282
10,v,115,203,10459290
11,v,118,209,10459297
12,v,120,215,10459305
13,v,123,220,10459313
14,v,125,225,10459321
15,v,127,230,10459329
16,v,128,233,10459338
17,v,130,237,10459347
18,v,132,240,10459355
19,v,134,241,10459365
20,v,137,242,10459375
21,v,139,241,10459389
22,v,141,238,10459401
23,v,143,234,10459412
24,v,145,227,10459422
25,v,148,218,10459433
26,v,149,212,10459444
27,v,150,209,10459445
28,v,152,201,10459457
29,v,152,197,10459458
30,v,155,187,10459469
31,v,157,180,10459481
32,v,158,178,10459482
33,v,161,169,10459494
34,v,164,161,10459507
35,v,166,156,10459519
36,v,168,151,10459531
37,v,170,147,10459544
38,v,171,145,10459556
39,v,172,143,10459569
40,v,173,141,10459582
