idx,label,x,y,timestamp
0,v,62,173,252811618
1,v,63,176,252811624
2,v,65,181,252811629
3,v,69,190,252811635
4,v,71,195,252811640
5,v,75,205,252811646
6,v,76,209,252811652
7,v,78,217,252811659
8,v,78,221,252811665
9,v,79,226,252811672
10,v,80,228,252811678
11,v,82,228,252811690
12,v,84,227,252811698
13,v,87,223,252811706
14,v,88,220,252811714
15,v,90,216,252811715
16,v,93,207,252811723
17,v,97,198,252811732
18,v,101,187,252811740
19,v,106,175,252811749
20,v,108,170,252811750
21,v,113,162,252811760
22,v,117,154,252811769
23,v,119,152,252811771
24,v,121,150,252811780
25,v,126,145,252811790
