idx,label,x,y,timestamp
0,x,87,144,125180850
1,x,89,145,125180938
2,x,91,146,125180986
3,x,94,147,125181006
4,x,96,149,125181018
5,x,98,149,125181030
6,x,100,150,125181038
7,x,103,151,125181050
8,x,105,153,125181062
9,x,107,154,125181070
10,x,110,157,125181082
11,x,112,158,125181094
12,x,114,161,125181102
13,x,116,164,125181110
14,x,118,166,125181119
15,x,120,168,125181127
16,x,122,171,125181135
17,x,124,173,125181143
18,x,126,175,125181152
19,x,128,178,125181161
20,x,130,181,125181170
21,x,132,184,125181179
22,x,134,186,125181188
23,x,136,188,125181198
24,x,138,190,125181199
25,x,140,193,125181209
26,x,142,196,125181219
27,x,144,201,125181230
28,x,145,203,125181231
29,x,146,206,125181241
30,x,148,209,125181253
31,x,150,213,125181264
32,x,153,219,125181276
33,x,154,222,125181287
34,x,157,227,125181300
35,x,158,230,125181312
36,x,160,233,125181325
37,x,161,237,125181339
38,x,163,238,125181354
39,x,165,239,125181382
40,x,167,236,125181407
41,x,167,233,125181420
42,x,168,228,125181434
43,x,168,226,125181448
44,x,168,221,125181462
45,x,168,212,125181476
46,x,168,209,125181491
47,x,168,205,125181492
48,x,168,202,125181506
49,x,168,199,125181507
50,x,168,195,125181522
51,x,167,192,125181523
52,x,167,186,125181539
53,x,166,177,125181555
54,x,166,168,125181572
55,x,165,159,125181588
56,x,164,152,125181605
57,x,163,146,125181622
58,x,162,138,125181639
59,x,161,133,125181657
60,x,160,130,125181674
61,x,158,125,125181692
62,x,157,123,125181723
63,x,155,126,125181820
64,x,153,128,125181848
65,x,153,131,125181867
66,x,150,133,125181885
67,x,147,139,125181904
68,x,144,140,125181923
69,x,140,145,125181943
70,x,134,151,125181963
71,x,130,155,125181983
72,x,128,158,125181985
73,x,123,163,125182005
74,x,118,171,125182025
75,x,112,179,125182047
76,x,106,187,125182068
77,x,99,196,125182089
78,x,94,202,125182111
79,x,84,213,125182133
80,x,79,220,125182155
81,x,77,223,125182156
82,x,72,226,125182179
83,x,70,228,125182180
84,x,66,234,125182203
85,x,64,236,125182204
86,x,61,237,125182227
87,x,58,238,125182228
88,x,54,242,125182255
89,x,50,244,125182279
90,x,49,246,125182321
91,x,49,244,125182401
