idx,label,x,y,timestamp
0,x,80,151,267699219
1,x,82,153,267699256
2,x,84,155,267699268
3,x,86,157,267699276
4,x,89,160,267699285
5,x,92,162,267699293
6,x,96,166,267699301
7,x,97,168,267699307
8,x,101,171,267699314
9,x,103,173,267699320
10,x,105,175,267699321
11,x,107,178,267699329
12,x,109,181,267699330
13,x,112,185,267699337
14,x,116,189,267699346
15,x,118,191,267699354
16,x,120,193,267699355
17,x,123,198,267699363
18,x,127,202,267699372
19,x,130,206,267699381
20,x,133,211,267699390
21,x,137,217,267699399
22,x,138,219,267699408
23,x,141,222,267699418
24,x,144,225,267699419
25,x,146,228,267699429
26,x,149,233,267699439
27,x,151,236,267699450
28,x,153,238,267699460
29,x,154,240,267699471
30,x,154,238,267699526
31,x,154,235,267699537
32,x,153,232,267699549
33,x,152,227,267699561
34,x,152,223,267699573
35,x,152,215,267699585
36,x,152,203,267699598
37,x,152,194,267699611
38,x,152,184,267699624
39,x,152,170,267699638
40,x,152,164,267699652
41,x,152,157,267699665
42,x,151,155,267699667
43,x,151,152,267699680
44,x,149,148,267699695
45,x,146,146,267699712
46,x,144,146,267699726
47,x,142,148,267699741
48,x,141,150,267699757
49,x,137,158,267699773
50,x,136,161,267699774
51,x,133,168,267699791
52,x,129,178,267699809
53,x,122,194,267699826
54,x,116,207,267699844
55,x,109,219,267699861
56,x,108,222,267699862
57,x,102,231,267699881
58,x,95,244,267699899
59,x,90,250,267699918
60,x,89,252,267699919
61,x,86,257,267699937
62,x,85,259,267699938
63,x,83,261,267699957
