idx,label,x,y,timestamp
0,arrow,34,246,124732593
1,arrow,36,245,124732750
2,arrow,38,246,124732773
3,arrow,40,245,124732786
4,arrow,42,244,124732806
5,arrow,44,243,124732818
6,arrow,46,242,124732832
7,arrow,48,242,124732844
8,arrow,50,241,124732857
9,arrow,52,240,124732865
10,arrow,55,239,124732876
11,arrow,57,238,124732884
12,arrow,60,237,124732896
13,arrow,62,236,124732908
14,arrow,65,236,124732921
15,arrow,67,235,124732934
16,arrow,69,234,124732950
17,arrow,72,233,124732958
18,arrow,74,231,124732970
19,arrow,76,229,124732979
20,arrow,78,229,124732988
21,arrow,80,228,124732997
22,arrow,82,227,124733006
23,arrow,85,226,124733016
24,arrow,87,225,124733026
25,arrow,90,223,124733036
26,arrow,92,222,124733046
27,arrow,94,222,124733047
28,arrow,96,220,124733057
29,arrow,98,218,124733069
30,arrow,102,215,124733080
31,arrow,105,213,124733091
32,arrow,107,212,124733103
33,arrow,110,210,124733115
34,arrow,112,209,124733127
35,arrow,115,207,124733139
36,arrow,117,206,124733151
37,arrow,121,201,124733164
38,arrow,123,201,124733180
39,arrow,126,198,124733193
40,arrow,129,195,124733206
41,arrow,131,193,124733220
42,arrow,133,191,124733234
43,arrow,136,190,124733248
44,arrow,138,188,124733262
45,arrow,140,187,124733277
46,arrow,142,185,124733292
47,arrow,144,185,124733327
48,arrow,146,182,124733351
49,arrow,148,181,124733367
50,arrow,150,179,124733383
51,arrow,152,179,124733399
52,arrow,154,178,124733415
53,arrow,156,177,124733432
54,arrow,154,178,124733545
55,arrow,152,178,124733569
56,arrow,150,177,124733589
57,arrow,148,178,124733608
58,arrow,146,178,124733628
59,arrow,144,178,124733646
60,arrow,142,179,124733663
61,arrow,139,179,124733681
62,arrow,137,178,124733700
63,arrow,135,178,124733702
64,arrow,133,178,124733720
65,arrow,130,178,124733738
66,arrow,128,178,124733757
67,arrow,126,179,124733776
68,arrow,124,178,124733795
69,arrow,122,178,124733814
70,arrow,118,180,124733834
71,arrow,116,181,124733854
72,arrow,117,183,124733926
73,arrow,120,182,124733946
74,arrow,122,182,124733966
75,arrow,126,182,124733987
76,arrow,131,181,124734008
77,arrow,135,180,124734030
78,arrow,140,180,124734051
79,arrow,144,179,124734073
80,arrow,149,177,124734096
81,arrow,153,176,124734118
82,arrow,158,177,124734144
83,arrow,160,176,124734170
84,arrow,160,178,124734234
85,arrow,160,180,124734257
86,arrow,160,183,124734286
87,arrow,159,185,124734310
88,arrow,158,187,124734333
89,arrow,158,189,124734357
90,arrow,157,192,124734381
91,arrow,156,196,124734405
92,arrow,156,198,124734430
93,arrow,155,203,124734455
94,arrow,154,205,124734480
95,arrow,154,207,124734505
96,arrow,154,211,124734530
97,arrow,155,214,124734555
98,arrow,156,216,124734581
99,arrow,159,215,124734607
100,arrow,161,216,124734635
101,arrow,163,217,124734661
102,arrow,165,218,124734687
103,arrow,167,218,124734810
