idx,label,x,y,timestamp
0,arrow,49,257,252739169
1,arrow,52,256,252739182
2,arrow,54,256,252739191
3,arrow,57,254,252739198
4,arrow,59,253,252739207
5,arrow,62,253,252739215
6,arrow,66,251,252739223
7,arrow,69,248,252739231
8,arrow,73,247,252739239
9,arrow,75,246,252739246
10,arrow,79,245,252739253
11,arrow,83,243,252739260
12,arrow,88,241,252739267
13,arrow,91,239,252739275
14,arrow,93,238,252739276
15,arrow,99,235,252739284
16,arrow,104,233,252739292
17,arrow,110,229,252739301
18,arrow,117,225,252739309
19,arrow,123,220,252739318
20,arrow,126,219,252739319
21,arrow,133,215,252739329
22,arrow,139,211,252739338
23,arrow,142,210,252739340
24,arrow,148,207,252739350
25,arrow,151,205,252739351
26,arrow,156,201,252739362
27,arrow,163,198,252739373
28,arrow,170,194,252739384
29,arrow,174,192,252739395
30,arrow,177,190,252739406
31,arrow,179,189,252739407
32,arrow,182,188,252739419
33,arrow,179,187,252739472
34,arrow,177,188,252739484
35,arrow,170,190,252739496
36,arrow,164,190,252739509
37,arrow,157,190,252739522
38,arrow,150,189,252739535
39,arrow,141,186,252739549
40,arrow,136,185,252739562
41,arrow,131,183,252739584
42,arrow,129,183,252739598
43,arrow,127,182,252739621
44,arrow,129,182,252739666
45,arrow,131,182,252739680
46,arrow,136,184,252739695
47,arrow,138,185,252739709
48,arrow,142,185,252739710
49,arrow,150,187,252739727
50,arrow,158,189,252739743
51,arrow,166,189,252739759
52,arrow,174,191,252739775
53,arrow,180,190,252739792
54,arrow,185,189,252739809
55,arrow,188,189,252739831
56,arrow,189,191,252739894
57,arrow,186,196,252739916
58,arrow,181,204,252739934
59,arrow,176,211,252739953
60,arrow,172,220,252739971
61,arrow,170,225,252739989
62,arrow,168,229,252740007
63,arrow,167,231,252740038
