idx,label,x,y,timestamp
0,arrow,68,222,1356897
1,arrow,70,220,1356908
2,arrow,73,218,1356917
3,arrow,75,217,1356923
4,arrow,77,215,1356929
5,arrow,80,213,1356930
6,arrow,82,212,1356936
7,arrow,84,210,1356937
8,arrow,87,209,1356944
9,arrow,89,208,1356945
10,arrow,92,206,1356953
11,arrow,95,204,1356954
12,arrow,101,201,1356962
13,arrow,106,198,1356970
14,arrow,112,194,1356979
15,arrow,118,191,1356988
16,arrow,124,187,1356997
17,arrow,127,186,1356998
18,arrow,132,183,1357007
19,arrow,138,181,1357017
20,arrow,141,180,1357018
21,arrow,146,178,1357028
22,arrow,154,173,1357038
23,arrow,159,171,1357048
24,arrow,161,170,1357049
25,arrow,166,167,1357060
26,arrow,168,167,1357061
27,arrow,171,166,1357073
28,arrow,174,164,1357085
29,arrow,177,162,1357086
30,arrow,180,160,1357098
31,arrow,182,158,1357110
32,arrow,183,156,1357133
33,arrow,181,154,1357145
34,arrow,178,153,1357158
35,arrow,171,153,1357172
36,arrow,164,153,1357185
37,arrow,160,153,1357199
38,arrow,150,154,1357214
39,arrow,147,155,1357228
40,arrow,141,157,1357243
41,arrow,137,158,1357258
42,arrow,135,158,1357272
43,arrow,137,158,1357314
44,arrow,140,157,1357329
45,arrow,143,156,1357331
46,arrow,151,154,1357348
47,arrow,160,152,1357363
48,arrow,170,149,1357379
49,arrow,179,147,1357395
50,arrow,185,145,1357411
51,arrow,192,144,1357427
52,arrow,196,144,1357443
53,arrow,198,144,1357460
54,arrow,200,144,1357475
55,arrow,201,147,1357492
56,arrow,199,149,1357509
57,arrow,194,157,1357529
58,arrow,191,160,1357530
59,arrow,186,167,1357551
60,arrow,180,176,1357569
61,arrow,177,179,1357570
62,arrow,171,187,1357590
63,arrow,169,189,1357609
64,arrow,165,194,1357627
65,arrow,164,196,1357646
