idx,label,x,y,timestamp
0,arrow,32,241,88455894
1,arrow,34,239,88455935
2,arrow,36,238,88455947
3,arrow,37,236,88455955
4,arrow,39,234,88455963
5,arrow,42,233,88455972
6,arrow,44,231,88455980
7,arrow,46,228,88455988
8,arrow,49,227,88455996
9,arrow,52,225,88456004
10,arrow,55,223,88456012
11,arrow,58,220,88456020
12,arrow,61,219,88456028
13,arrow,64,216,88456037
14,arrow,68,214,88456044
15,arrow,71,212,88456053
16,arrow,74,210,88456061
17,arrow,77,208,88456069
18,arrow,80,206,88456078
19,arrow,83,204,88456087
20,arrow,86,203,88456096
21,arrow,89,200,88456105
22,arrow,92,199,88456114
23,arrow,94,198,88456124
24,arrow,99,195,88456134
25,arrow,102,194,88456144
26,arrow,105,192,88456154
27,arrow,108,191,88456165
28,arrow,110,189,88456166
29,arrow,113,188,88456177
30,arrow,115,187,88456188
31,arrow,119,184,88456199
32,arrow,121,183,88456210
33,arrow,123,181,88456222
34,arrow,125,179,88456234
35,arrow,128,178,88456246
36,arrow,130,177,88456258
37,arrow,131,174,88456271
38,arrow,134,174,88456283
39,arrow,137,169,88456296
40,arrow,139,169,88456310
41,arrow,141,167,88456323
42,arrow,143,165,88456337
43,arrow,145,164,88456353
44,arrow,147,162,88456367
45,arrow,149,161,88456381
46,arrow,152,160,88456405
47,arrow,154,158,88456429
48,arrow,156,156,88456449
49,arrow,158,156,88456493
50,arrow,158,154,88456560
51,arrow,156,154,88456592
52,arrow,153,154,88456613
53,arrow,151,153,88456629
54,arrow,149,154,88456645
55,arrow,146,154,88456646
56,arrow,141,154,88456662
57,arrow,135,154,88456679
58,arrow,130,155,88456696
59,arrow,126,156,88456713
60,arrow,124,156,88456730
61,arrow,122,157,88456748
62,arrow,120,157,88456765
63,arrow,117,159,88456783
64,arrow,115,159,88456801
65,arrow,113,161,88456802
66,arrow,111,161,88456825
67,arrow,108,161,88456845
68,arrow,106,164,88456886
69,arrow,108,162,88457036
70,arrow,113,162,88457059
71,arrow,117,161,88457079
72,arrow,119,160,88457080
73,arrow,124,160,88457101
74,arrow,131,159,88457121
75,arrow,136,158,88457142
76,arrow,142,157,88457163
77,arrow,147,156,88457184
78,arrow,149,156,88457205
79,arrow,151,155,88457227
80,arrow,156,154,88457249
81,arrow,158,154,88457271
82,arrow,160,153,88457293
83,arrow,161,155,88457397
84,arrow,160,158,88457486
85,arrow,160,160,88457526
86,arrow,160,162,88457549
87,arrow,159,168,88457572
88,arrow,157,175,88457596
89,arrow,153,184,88457619
90,arrow,149,192,88457643
91,arrow,146,198,88457667
92,arrow,141,204,88457691
93,arrow,140,206,88457716
94,arrow,138,209,88457741
95,arrow,136,211,88457778
