idx,label,x,y,timestamp
0,arrow,70,254,11459006
1,arrow,72,252,11459015
2,arrow,74,251,11459022
3,arrow,77,250,11459031
4,arrow,79,248,11459039
5,arrow,83,246,11459047
6,arrow,85,244,11459054
7,arrow,88,242,11459060
8,arrow,92,239,11459067
9,arrow,94,238,11459075
10,arrow,96,236,11459076
11,arrow,100,232,11459083
12,arrow,102,231,11459090
13,arrow,104,229,11459092
14,arrow,108,226,11459099
15,arrow,113,223,11459107
16,arrow,118,220,11459116
17,arrow,122,216,11459124
18,arrow,126,213,11459133
19,arrow,131,210,11459142
20,arrow,135,206,11459151
21,arrow,138,204,11459160
22,arrow,141,202,11459169
23,arrow,145,199,11459179
24,arrow,148,196,11459180
25,arrow,150,194,11459190
26,arrow,153,192,11459201
27,arrow,158,188,11459211
28,arrow,160,187,11459222
29,arrow,162,185,11459233
30,arrow,167,182,11459244
31,arrow,169,181,11459256
32,arrow,171,178,11459268
33,arrow,173,177,11459280
34,arrow,175,176,11459292
35,arrow,177,175,11459304
36,arrow,179,174,11459335
37,arrow,177,173,11459452
38,arrow,175,173,11459465
39,arrow,173,173,11459478
40,arrow,171,173,11459491
41,arrow,169,174,11459492
42,arrow,166,174,11459507
43,arrow,163,174,11459508
44,arrow,161,174,11459523
45,arrow,158,175,11459524
46,arrow,153,176,11459540
47,arrow,148,177,11459557
48,arrow,143,177,11459572
49,arrow,141,177,11459587
50,arrow,138,179,11459603
51,arrow,134,179,11459618
52,arrow,132,178,11459635
53,arrow,134,178,11459717
54,arrow,136,177,11459733
55,arrow,141,176,11459750
56,arrow,145,176,11459766
57,arrow,151,174,11459784
58,arrow,156,174,11459801
59,arrow,158,174,11459802
60,arrow,162,173,11459820
61,arrow,167,174,11459838
62,arrow,169,174,11459856
63,arrow,172,173,11459874
64,arrow,174,174,11459893
65,arrow,176,175,11459942
66,arrow,178,175,11459994
67,arrow,179,177,11460042
68,arrow,179,179,11460062
69,arrow,180,184,11460082
70,arrow,180,187,11460083
71,arrow,180,192,11460103
72,arrow,180,204,11460124
73,arrow,179,209,11460144
74,arrow,179,217,11460165
75,arrow,179,219,11460186
76,arrow,179,221,11460207
