idx,label,x,y,timestamp
0,arrow,57,217,119769481
1,arrow,60,217,119769494
2,arrow,62,218,119769504
3,arrow,64,217,119769509
4,arrow,67,216,119769515
5,arrow,69,215,119769516
6,arrow,71,214,119769523
7,arrow,76,213,119769529
8,arrow,78,212,119769535
9,arrow,81,211,119769536
10,arrow,84,210,119769543
11,arrow,87,209,119769544
12,arrow,90,207,119769552
13,arrow,92,206,119769553
14,arrow,98,204,119769561
15,arrow,104,201,119769569
16,arrow,110,200,119769577
17,arrow,115,197,119769586
18,arrow,119,195,119769595
19,arrow,124,192,119769603
20,arrow,126,191,119769605
21,arrow,129,189,119769616
22,arrow,132,187,119769625
23,arrow,135,185,119769635
24,arrow,137,183,119769644
25,arrow,140,182,119769654
26,arrow,141,180,119769665
27,arrow,143,177,119769677
28,arrow,145,176,119769710
29,arrow,147,175,119769734
30,arrow,148,172,119769749
31,arrow,148,174,119769765
32,arrow,146,174,119769813
33,arrow,144,173,119769826
34,arrow,142,175,119769839
35,arrow,137,175,119769852
36,arrow,131,176,119769865
37,arrow,127,177,119769879
38,arrow,120,177,119769892
39,arrow,115,178,119769906
40,arrow,113,177,119769921
41,arrow,111,178,119769936
42,arrow,111,176,119770001
43,arrow,113,176,119770017
44,arrow,116,176,119770032
45,arrow,121,175,119770048
46,arrow,128,173,119770063
47,arrow,135,172,119770079
48,arrow,141,171,119770095
49,arrow,146,170,119770112
50,arrow,148,169,119770128
51,arrow,150,167,119770144
52,arrow,153,167,119770146
53,arrow,155,166,119770169
54,arrow,156,164,119770198
55,arrow,156,166,119770246
56,arrow,155,168,119770263
57,arrow,153,176,119770281
58,arrow,152,179,119770283
59,arrow,149,191,119770303
60,arrow,147,200,119770322
61,arrow,146,202,119770323
62,arrow,144,209,119770343
63,arrow,143,215,119770363
64,arrow,143,218,119770382
65,arrow,143,220,119770401
