idx,label,x,y,timestamp
0,arrow,49,226,124800097
1,arrow,51,227,124800256
2,arrow,54,225,124800268
3,arrow,57,224,124800277
4,arrow,61,223,124800284
5,arrow,63,223,124800290
6,arrow,66,222,124800296
7,arrow,68,221,124800297
8,arrow,71,219,124800303
9,arrow,74,218,124800304
10,arrow,77,217,124800311
11,arrow,80,216,124800312
12,arrow,83,215,124800320
13,arrow,86,213,124800321
14,arrow,93,211,124800329
15,arrow,101,206,124800337
16,arrow,109,202,124800345
17,arrow,117,197,124800354
18,arrow,124,192,124800363
19,arrow,134,186,124800372
20,arrow,140,182,124800381
21,arrow,142,180,124800391
22,arrow,145,177,124800400
23,arrow,147,176,124800410
24,arrow,144,175,124800425
25,arrow,141,175,124800435
26,arrow,134,177,124800446
27,arrow,129,178,124800457
28,arrow,126,179,124800458
29,arrow,118,183,124800469
30,arrow,113,183,124800481
31,arrow,111,185,124800482
32,arrow,108,186,124800494
33,arrow,106,186,124800506
34,arrow,109,187,124800534
35,arrow,116,183,124800547
36,arrow,124,182,124800560
37,arrow,127,182,124800561
38,arrow,136,179,124800575
39,arrow,148,178,124800589
40,arrow,158,176,124800603
41,arrow,168,175,124800618
42,arrow,171,175,124800632
43,arrow,176,178,124800648
44,arrow,174,185,124800663
45,arrow,169,194,124800678
46,arrow,165,202,124800694
47,arrow,164,211,124800709
