idx,label,x,y,timestamp
0,caret,54,224,202318626
1,caret,55,221,202318634
2,caret,56,219,202318639
3,caret,58,216,202318646
4,caret,59,213,202318651
5,caret,61,211,202318657
6,caret,64,207,202318663
7,caret,66,204,202318669
8,caret,68,200,202318670
9,caret,70,197,202318677
10,caret,74,191,202318684
11,caret,78,183,202318691
12,caret,83,175,202318698
13,caret,85,170,202318706
14,caret,87,165,202318707
15,caret,92,157,202318715
16,caret,96,149,202318723
17,caret,99,141,202318732
18,caret,102,134,202318741
19,caret,105,127,202318750
20,caret,106,124,202318751
21,caret,108,121,202318760
22,caret,110,119,202318778
23,caret,110,121,202318803
24,caret,109,124,202318827
25,caret,108,126,202318837
26,caret,109,129,202318847
27,caret,109,132,202318857
28,caret,111,138,202318868
29,caret,113,142,202318879
30,caret,113,145,202318880
31,caret,116,156,202318891
32,caret,118,163,202318902
33,caret,119,168,202318903
34,caret,123,182,202318916
35,caret,128,197,202318928
36,caret,132,209,202318940
37,caret,137,218,202318952
38,caret,141,224,202318965
39,caret,143,228,202318978
40,caret,145,230,202318990
41,caret,147,232,202318992
42,caret,147,230,202319032
43,caret,147,228,202319046
