idx,label,x,y,timestamp
0,caret,57,235,117657528
1,caret,58,233,117657560
2,caret,60,231,117657613
3,caret,61,229,117657626
4,caret,62,227,117657649
5,caret,64,225,117657685
6,caret,65,223,117657702
7,caret,67,221,117657722
8,caret,69,219,117657749
9,caret,70,216,117657757
10,caret,71,214,117657781
11,caret,73,211,117657793
12,caret,75,209,117657814
13,caret,76,206,117657830
14,caret,78,204,117657847
15,caret,79,202,117657863
16,caret,81,199,117657884
17,caret,82,197,117657899
18,caret,82,195,117657908
19,caret,84,193,117657923
20,caret,85,190,117657935
21,caret,86,188,117657955
22,caret,87,185,117657967
23,caret,88,183,117657979
24,caret,89,181,117657995
25,caret,91,179,117658009
26,caret,92,177,117658025
27,caret,93,175,117658037
28,caret,94,172,117658054
29,caret,95,169,117658071
30,caret,97,166,117658091
31,caret,98,164,117658107
32,caret,99,162,117658123
33,caret,100,159,117658139
34,caret,101,157,117658152
35,caret,102,155,117658174
36,caret,103,153,117658191
37,caret,104,150,117658203
38,caret,106,148,117658223
39,caret,107,145,117658247
40,caret,108,143,117658271
41,caret,108,141,117658288
42,caret,110,138,117658303
43,caret,110,136,117658324
44,caret,112,134,117658356
45,caret,112,132,117658370
46,caret,113,130,117658397
47,caret,114,128,117658417
48,caret,114,126,117658441
49,caret,116,128,117658618
50,caret,117,130,117658642
51,caret,118,132,117658666
52,caret,119,134,117658698
53,caret,119,137,117658715
54,caret,120,139,117658735
55,caret,120,141,117658756
56,caret,122,143,117658781
57,caret,122,145,117658797
58,caret,123,147,117658813
59,caret,124,150,117658833
60,caret,126,152,117658857
61,caret,127,155,117658885
62,caret,129,157,117658909
63,caret,130,160,117658929
64,caret,132,162,117658961
65,caret,133,164,117658979
66,caret,135,166,117658997
67,caret,136,168,117659016
68,caret,137,170,117659035
69,caret,138,172,117659054
70,caret,139,174,117659076
71,caret,140,177,117659095
72,caret,142,179,117659114
73,caret,144,184,117659134
74,caret,147,189,117659154
75,caret,149,193,117659174
76,caret,152,197,117659195
77,caret,153,200,117659215
78,caret,155,202,117659236
79,caret,157,206,117659257
80,caret,157,208,117659278
81,caret,159,212,117659300
82,caret,160,214,117659321
83,caret,161,217,117659343
84,caret,162,219,117659365
85,caret,164,221,117659387
86,caret,165,223,117659409
87,caret,166,225,117659431
88,caret,167,227,117659454
89,caret,168,230,117659486
90,caret,170,232,117659518
91,caret,171,234,117659550
92,caret,172,236,117659579
93,caret,173,238,117659603
94,caret,174,240,117659643
95,caret,175,242,117659683
96,caret,176,244,117659772
