idx,label,x,y,timestamp
0,caret,83,232,121338684
1,caret,84,229,121338712
2,caret,87,226,121338724
3,caret,89,222,121338733
4,caret,90,220,121338739
5,caret,92,218,121338744
6,caret,94,215,121338745
7,caret,96,213,121338752
8,caret,99,208,121338758
9,caret,104,201,121338765
10,caret,106,197,121338772
11,caret,108,193,121338773
12,caret,110,189,121338780
13,caret,113,184,121338781
14,caret,117,175,121338790
15,caret,121,167,121338798
16,caret,124,161,121338806
17,caret,126,155,121338814
18,caret,129,151,121338823
19,caret,130,147,121338832
20,caret,131,144,121338842
21,caret,133,142,121338860
22,caret,133,140,121338885
23,caret,133,142,121338933
24,caret,134,145,121338943
25,caret,135,147,121338953
26,caret,136,149,121338964
27,caret,137,158,121338974
28,caret,139,167,121338986
29,caret,140,173,121338996
30,caret,141,176,121338998
31,caret,143,188,121339009
32,caret,146,200,121339021
33,caret,149,210,121339034
34,caret,152,219,121339046
35,caret,155,225,121339058
36,caret,159,231,121339071
37,caret,161,232,121339083
38,caret,163,235,121339096
39,caret,164,237,121339109
40,caret,166,237,121339133
