idx,label,x,y,timestamp
0,caret,77,237,117721905
1,caret,78,235,117721913
2,caret,79,233,117721932
3,caret,81,229,117721949
4,caret,82,226,117721957
5,caret,83,224,117721965
6,caret,85,221,117721977
7,caret,86,218,117721985
8,caret,87,215,117721993
9,caret,89,212,117722001
10,caret,89,210,117722008
11,caret,90,208,117722015
12,caret,93,202,117722022
13,caret,94,198,117722030
14,caret,96,194,117722038
15,caret,97,192,117722046
16,caret,99,185,117722054
17,caret,101,181,117722062
18,caret,102,177,117722070
19,caret,103,175,117722080
20,caret,104,172,117722088
21,caret,105,170,117722090
22,caret,105,168,117722100
23,caret,107,161,117722111
24,caret,107,159,117722122
25,caret,108,156,117722133
26,caret,109,154,117722143
27,caret,110,151,117722154
28,caret,111,149,117722164
29,caret,112,147,117722186
30,caret,114,147,117722247
31,caret,116,149,117722263
32,caret,117,151,117722274
33,caret,118,153,117722286
34,caret,120,155,117722287
35,caret,122,160,117722299
36,caret,125,165,117722312
37,caret,127,172,117722325
38,caret,130,179,117722338
39,caret,133,185,117722351
40,caret,134,187,117722352
41,caret,136,193,117722365
42,caret,138,197,117722379
43,caret,140,200,117722380
44,caret,143,207,117722394
45,caret,144,209,117722395
46,caret,147,212,117722410
47,caret,151,219,117722425
48,caret,155,226,117722440
49,caret,160,234,117722455
50,caret,163,239,117722473
51,caret,165,242,117722488
52,caret,167,246,117722504
53,caret,168,249,117722520
54,caret,170,251,117722555
