idx,label,x,y,timestamp
0,caret,24,252,123554743
1,caret,26,251,123554771
2,caret,28,249,123554784
3,caret,30,247,123554796
4,caret,32,244,123554804
5,caret,35,241,123554812
6,caret,38,238,123554820
7,caret,41,235,123554828
8,caret,42,233,123554835
9,caret,46,228,123554841
10,caret,50,225,123554849
11,caret,54,221,123554856
12,caret,56,219,123554864
13,caret,58,217,123554865
14,caret,62,212,123554876
15,caret,65,209,123554877
16,caret,72,203,123554888
17,caret,77,198,123554897
18,caret,82,193,123554907
19,caret,84,190,123554908
20,caret,89,185,123554920
21,caret,91,183,123554921
22,caret,98,176,123554933
23,caret,102,170,123554943
24,caret,106,167,123554953
25,caret,109,163,123554963
26,caret,115,155,123554974
27,caret,118,152,123554984
28,caret,122,146,123554995
29,caret,124,144,123555006
30,caret,125,142,123555017
31,caret,129,137,123555029
32,caret,131,135,123555048
33,caret,133,135,123555085
34,caret,134,137,123555218
35,caret,136,140,123555238
36,caret,137,143,123555251
37,caret,139,149,123555263
38,caret,141,157,123555277
39,caret,146,172,123555290
40,caret,151,185,123555304
41,caret,157,201,123555319
42,caret,163,210,123555333
43,caret,169,222,123555347
44,caret,175,233,123555362
45,caret,180,239,123555377
46,caret,181,242,123555378
47,caret,186,250,123555395
48,caret,191,255,123555410
49,caret,193,258,123555426
50,caret,195,260,123555442
