idx,label,x,y,timestamp
0,caret,68,248,253214610
1,caret,69,246,253214634
2,caret,71,244,253214651
3,caret,73,244,253214663
4,caret,74,241,253214671
5,caret,76,239,253214679
6,caret,78,237,253214691
7,caret,80,234,253214699
8,caret,82,232,253214707
9,caret,84,229,253214715
10,caret,86,225,253214723
11,caret,87,223,253214730
12,caret,90,219,253214737
13,caret,92,214,253214745
14,caret,95,210,253214752
15,caret,97,205,253214760
16,caret,100,201,253214768
17,caret,102,196,253214777
18,caret,105,192,253214785
19,caret,106,189,253214794
20,caret,110,183,253214803
21,caret,111,181,253214804
22,caret,113,178,253214813
23,caret,115,175,253214823
24,caret,116,173,253214834
25,caret,118,171,253214844
26,caret,120,171,253214890
27,caret,121,173,253214900
28,caret,122,176,253214911
29,caret,123,179,253214922
30,caret,124,183,253214934
31,caret,125,186,253214935
32,caret,128,193,253214947
33,caret,130,201,253214959
34,caret,133,207,253214971
35,caret,135,215,253214984
36,caret,136,223,253214997
37,caret,138,233,253215011
38,caret,139,236,253215024
39,caret,140,242,253215037
40,caret,141,245,253215038
41,caret,143,248,253215057
42,caret,144,251,253215071
43,caret,147,256,253215086
44,caret,148,259,253215100
45,caret,149,262,253215114
46,caret,149,264,253215133
47,caret,149,266,253215152
48,caret,147,265,253215175
