idx,label,x,y,timestamp
0,caret,72,245,253223143
1,caret,74,243,253223158
2,caret,76,241,253223170
3,caret,77,238,253223178
4,caret,79,235,253223186
5,caret,80,233,253223195
6,caret,82,229,253223203
7,caret,83,226,253223211
8,caret,85,221,253223219
9,caret,86,219,253223226
10,caret,88,215,253223233
11,caret,89,210,253223240
12,caret,91,205,253223247
13,caret,92,202,253223255
14,caret,92,200,253223256
15,caret,94,195,253223264
16,caret,95,193,253223272
17,caret,96,190,253223280
18,caret,98,187,253223288
19,caret,100,186,253223297
20,caret,102,184,253223306
21,caret,105,184,253223315
22,caret,110,188,253223324
23,caret,114,192,253223334
24,caret,116,194,253223335
25,caret,120,202,253223346
26,caret,124,213,253223356
27,caret,126,219,253223367
28,caret,128,222,253223368
29,caret,129,224,253223378
30,caret,130,229,253223380
31,caret,132,233,253223391
32,caret,134,240,253223403
33,caret,135,243,253223414
34,caret,137,247,253223416
35,caret,138,252,253223428
36,caret,139,255,253223441
37,caret,139,262,253223454
