idx,label,x,y,timestamp
0,caret,40,222,202328689
1,caret,41,219,202328698
2,caret,43,215,202328707
3,caret,45,212,202328712
4,caret,47,209,202328718
5,caret,52,203,202328724
6,caret,54,200,202328729
7,caret,60,192,202328736
8,caret,63,187,202328742
9,caret,66,183,202328743
10,caret,69,178,202328750
11,caret,72,174,202328751
12,caret,75,169,202328759
13,caret,78,164,202328760
14,caret,84,154,202328768
15,caret,89,145,202328776
16,caret,94,135,202328784
17,caret,97,128,202328793
18,caret,101,123,202328802
19,caret,103,120,202328811
20,caret,105,118,202328819
21,caret,107,118,202328828
22,caret,110,117,202328838
23,caret,112,119,202328847
24,caret,114,122,202328856
25,caret,117,129,202328866
26,caret,118,133,202328868
27,caret,121,140,202328878
28,caret,126,154,202328889
29,caret,133,169,202328899
30,caret,137,178,202328910
31,caret,139,183,202328912
32,caret,145,194,202328923
33,caret,148,200,202328935
34,caret,149,203,202328936
35,caret,152,206,202328948
36,caret,154,212,202328960
37,caret,156,213,202328987
