idx,label,x,y,timestamp
0,caret,70,229,121311536
1,caret,72,227,121311617
2,caret,74,225,121311641
3,caret,75,223,121311676
4,caret,77,220,121311709
5,caret,78,218,121311721
6,caret,80,216,121311733
7,caret,82,213,121311753
8,caret,83,211,121311761
9,caret,85,209,121311777
10,caret,86,206,121311789
11,caret,87,203,121311801
12,caret,89,201,121311813
13,caret,90,199,121311822
14,caret,91,196,121311830
15,caret,93,193,121311838
16,caret,94,191,121311849
17,caret,95,189,121311860
18,caret,97,186,121311870
19,caret,99,183,121311880
20,caret,100,180,121311890
21,caret,101,177,121311901
22,caret,102,174,121311912
23,caret,103,171,121311921
24,caret,104,169,121311932
25,caret,106,164,121311942
26,caret,107,161,121311957
27,caret,108,159,121311969
28,caret,108,157,121311981
29,caret,108,155,121311992
30,caret,109,153,121312005
31,caret,110,151,121312019
32,caret,111,149,121312042
33,caret,111,147,121312103
34,caret,112,145,121312155
35,caret,112,147,121312252
36,caret,112,149,121312288
37,caret,112,151,121312301
38,caret,113,154,121312316
39,caret,113,156,121312329
40,caret,114,158,121312343
41,caret,114,162,121312356
42,caret,114,164,121312370
43,caret,115,166,121312384
44,caret,117,171,121312398
45,caret,118,173,121312413
46,caret,119,175,121312427
47,caret,121,178,121312428
48,caret,122,181,121312444
49,caret,125,183,121312459
50,caret,126,185,121312460
51,caret,127,188,121312476
52,caret,130,192,121312493
53,caret,131,197,121312510
54,caret,131,201,121312529
55,caret,132,205,121312546
56,caret,133,207,121312563
57,caret,133,210,121312580
58,caret,135,212,121312597
59,caret,135,214,121312614
60,caret,137,217,121312631
61,caret,138,219,121312632
62,caret,140,221,121312650
63,caret,142,223,121312668
64,caret,144,226,121312688
65,caret,145,228,121312712
66,caret,147,230,121312752
67,caret,147,232,121312788
