idx,label,x,y,timestamp
0,caret,48,223,124481860
1,caret,46,224,124482013
2,caret,48,222,124482205
3,caret,47,220,124482229
4,caret,47,217,124482258
5,caret,48,215,124482289
6,caret,48,213,124482309
7,caret,49,210,124482325
8,caret,50,208,124482337
9,caret,51,206,124482345
10,caret,53,204,124482357
11,caret,55,202,124482374
12,caret,56,199,124482382
13,caret,57,197,124482395
14,caret,58,194,124482403
15,caret,59,192,124482412
16,caret,59,189,124482420
17,caret,60,187,124482428
18,caret,62,184,124482440
19,caret,63,180,124482449
20,caret,64,177,124482457
21,caret,66,174,124482467
22,caret,67,172,124482476
23,caret,69,169,124482485
24,caret,70,167,124482495
25,caret,72,165,124482505
26,caret,73,163,124482516
27,caret,74,159,124482517
28,caret,76,157,124482527
29,caret,77,155,124482538
30,caret,79,152,124482550
31,caret,81,150,124482561
32,caret,83,147,124482573
33,caret,85,146,124482588
34,caret,86,144,124482601
35,caret,87,142,124482613
36,caret,89,140,124482625
37,caret,91,138,124482638
38,caret,92,136,124482651
39,caret,94,133,124482664
40,caret,96,131,124482684
41,caret,97,128,124482698
42,caret,98,126,124482716
43,caret,100,124,124482748
44,caret,101,126,124482886
45,caret,102,128,124482930
46,caret,104,131,124482946
47,caret,104,133,124482962
48,caret,105,135,124482983
49,caret,105,137,124482998
50,caret,106,139,124483044
51,caret,107,141,124483068
52,caret,107,143,124483083
53,caret,107,146,124483099
54,caret,108,150,124483116
55,caret,109,152,124483133
56,caret,110,154,124483152
57,caret,111,156,124483169
58,caret,111,161,124483187
59,caret,111,166,124483204
60,caret,112,168,124483221
61,caret,112,171,124483239
62,caret,113,176,124483257
63,caret,114,178,124483276
64,caret,115,181,124483295
65,caret,117,185,124483313
66,caret,119,187,124483335
67,caret,120,189,124483357
68,caret,122,191,124483379
69,caret,124,193,124483398
70,caret,126,196,124483418
71,caret,129,199,124483438
72,caret,131,201,124483458
73,caret,135,205,124483479
74,caret,137,207,124483499
75,caret,140,211,124483520
76,caret,142,214,124483540
77,caret,144,216,124483561
78,caret,146,218,124483582
79,caret,149,221,124483603
80,caret,151,222,124483628
