idx,label,x,y,timestamp
0,caret,60,232,117717063
1,caret,62,230,117717096
2,caret,64,228,117717112
3,caret,66,226,117717124
4,caret,68,224,117717132
5,caret,69,221,117717140
6,caret,72,218,117717153
7,caret,74,216,117717161
8,caret,76,213,117717169
9,caret,77,211,117717176
10,caret,78,209,117717182
11,caret,80,206,117717189
12,caret,82,202,117717197
13,caret,85,198,117717204
14,caret,87,194,117717212
15,caret,88,192,117717213
16,caret,90,190,117717221
17,caret,94,184,117717230
18,caret,95,182,117717238
19,caret,100,177,117717247
20,caret,102,172,117717256
21,caret,105,168,117717266
22,caret,107,165,117717275
23,caret,109,162,117717284
24,caret,111,159,117717285
25,caret,112,157,117717295
26,caret,115,152,117717306
27,caret,116,149,117717316
28,caret,118,146,117717329
29,caret,119,143,117717340
30,caret,121,141,117717352
31,caret,122,138,117717363
32,caret,123,136,117717375
33,caret,124,134,117717386
34,caret,126,132,117717413
35,caret,128,133,117717462
36,caret,130,136,117717478
37,caret,130,138,117717490
38,caret,132,143,117717503
39,caret,133,149,117717516
40,caret,134,155,117717529
41,caret,134,157,117717531
42,caret,136,163,117717545
43,caret,138,173,117717559
44,caret,140,177,117717573
45,caret,141,180,117717574
46,caret,143,186,117717589
47,caret,144,192,117717604
48,caret,148,200,117717619
49,caret,151,205,117717635
50,caret,153,211,117717650
51,caret,156,216,117717665
52,caret,158,221,117717681
53,caret,159,225,117717697
54,caret,160,227,117717698
55,caret,161,230,117717715
56,caret,163,235,117717732
57,caret,164,237,117717749
58,caret,165,240,117717750
59,caret,166,242,117717775
60,caret,167,244,117717804
61,caret,167,242,117717855
62,caret,166,240,117717873
