idx,label,x,y,timestamp
0,caret,59,242,124517761
1,caret,59,244,124517816
2,caret,61,243,124517973
3,caret,63,241,124518005
4,caret,65,238,124518034
5,caret,67,236,124518058
6,caret,68,234,124518103
7,caret,70,232,124518131
8,caret,71,229,124518147
9,caret,72,227,124518171
10,caret,73,225,124518195
11,caret,75,223,124518219
12,caret,76,220,124518231
13,caret,77,217,124518251
14,caret,79,215,124518276
15,caret,80,213,124518293
16,caret,80,211,124518305
17,caret,82,208,124518328
18,caret,83,205,124518344
19,caret,84,203,124518360
20,caret,86,200,124518376
21,caret,86,198,124518385
22,caret,87,196,124518396
23,caret,89,194,124518408
24,caret,90,191,124518421
25,caret,91,189,124518431
26,caret,92,187,124518445
27,caret,93,184,124518461
28,caret,94,182,124518472
29,caret,95,180,124518482
30,caret,96,177,124518493
31,caret,97,175,124518506
32,caret,98,173,124518521
33,caret,99,171,124518533
34,caret,100,169,124518544
35,caret,101,167,124518561
36,caret,102,164,124518573
37,caret,103,162,124518586
38,caret,105,160,124518609
39,caret,106,158,124518629
40,caret,106,156,124518642
41,caret,108,154,124518657
42,caret,109,151,124518677
43,caret,110,149,124518697
44,caret,111,151,124518798
45,caret,112,153,124518826
46,caret,113,156,124518846
47,caret,113,158,124518862
48,caret,115,160,124518886
49,caret,116,163,124518910
50,caret,117,165,124518925
51,caret,119,167,124518941
52,caret,120,169,124518957
53,caret,122,171,124518974
54,caret,122,173,124518990
55,caret,124,176,124519006
56,caret,125,178,124519030
57,caret,127,181,124519051
58,caret,129,183,124519068
59,caret,131,185,124519087
60,caret,133,186,124519107
61,caret,135,188,124519128
62,caret,137,189,124519145
63,caret,139,190,124519164
64,caret,139,192,124519182
65,caret,140,194,124519201
66,caret,142,196,124519220
67,caret,144,198,124519239
68,caret,146,200,124519258
69,caret,147,202,124519281
70,caret,149,205,124519300
71,caret,151,207,124519320
72,caret,154,211,124519340
73,caret,156,213,124519372
74,caret,157,216,124519393
75,caret,158,218,124519423
76,caret,160,221,124519459
77,caret,161,223,124519481
78,caret,161,226,124519503
79,caret,163,227,124519524
80,caret,164,229,124519547
81,caret,165,232,124519571
82,caret,167,234,124519595
83,caret,168,236,124519620
84,caret,168,238,124519646
85,caret,169,240,124519669
86,caret,171,240,124519728
87,caret,171,238,124519751
