idx,label,x,y,timestamp
0,caret,59,235,87681114
1,caret,61,232,87681224
2,caret,62,230,87681248
3,caret,64,228,87681276
4,caret,65,226,87681312
5,caret,67,224,87681332
6,caret,68,222,87681345
7,caret,70,219,87681370
8,caret,71,217,87681389
9,caret,72,215,87681405
10,caret,73,212,87681417
11,caret,75,210,87681433
12,caret,76,207,87681449
13,caret,77,205,87681461
14,caret,79,203,87681481
15,caret,80,201,87681503
16,caret,81,199,87681516
17,caret,82,197,87681540
18,caret,84,195,87681555
19,caret,85,192,87681564
20,caret,86,189,87681584
21,caret,88,187,87681604
22,caret,89,185,87681621
23,caret,89,183,87681632
24,caret,90,181,87681642
25,caret,92,179,87681653
26,caret,93,177,87681669
27,caret,94,175,87681679
28,caret,96,172,87681704
29,caret,96,170,87681720
30,caret,98,168,87681740
31,caret,99,166,87681752
32,caret,100,164,87681765
33,caret,101,162,87681781
34,caret,102,159,87681793
35,caret,104,157,87681822
36,caret,105,155,87681834
37,caret,106,153,87681849
38,caret,107,150,87681873
39,caret,108,148,87681889
40,caret,110,146,87681905
41,caret,112,143,87681922
42,caret,114,141,87681941
43,caret,116,138,87681969
44,caret,117,136,87681986
45,caret,118,134,87682010
46,caret,120,131,87682030
47,caret,122,129,87682062
48,caret,123,126,87682090
49,caret,125,127,87682278
50,caret,127,129,87682373
51,caret,127,131,87682393
52,caret,128,133,87682442
53,caret,128,135,87682462
54,caret,128,137,87682487
55,caret,129,139,87682508
56,caret,130,142,87682535
57,caret,131,144,87682551
58,caret,132,146,87682571
59,caret,133,149,87682588
60,caret,134,151,87682606
61,caret,134,156,87682623
62,caret,135,158,87682641
63,caret,135,162,87682659
64,caret,136,167,87682680
65,caret,139,171,87682699
66,caret,140,174,87682717
67,caret,143,178,87682736
68,caret,145,182,87682755
69,caret,146,184,87682774
70,caret,148,187,87682775
71,caret,149,189,87682795
72,caret,150,192,87682796
73,caret,152,197,87682816
74,caret,153,199,87682836
75,caret,155,201,87682857
76,caret,157,206,87682878
77,caret,158,208,87682899
78,caret,160,212,87682920
79,caret,161,214,87682941
80,caret,163,217,87682962
81,caret,164,220,87682984
82,caret,166,222,87683006
83,caret,167,226,87683028
84,caret,168,228,87683050
85,caret,169,231,87683073
86,caret,170,233,87683096
87,caret,172,236,87683118
88,caret,174,236,87683176
89,caret,175,238,87683236
