idx,label,x,y,timestamp
0,check,56,206,125313548
1,check,59,204,125313573
2,check,62,201,125313585
3,check,65,198,125313593
4,check,67,196,125313601
5,check,71,193,125313610
6,check,73,192,125313616
7,check,77,191,125313622
8,check,81,190,125313630
9,check,83,190,125313637
10,check,85,191,125313643
11,check,88,192,125313651
12,check,91,194,125313658
13,check,94,198,125313665
14,check,95,201,125313666
15,check,97,206,125313675
16,check,97,213,125313683
17,check,97,219,125313692
18,check,96,226,125313701
19,check,96,233,125313710
20,check,95,236,125313711
21,check,94,240,125313720
22,check,94,243,125313729
23,check,94,245,125313742
24,check,96,243,125313754
25,check,100,239,125313764
26,check,107,229,125313775
27,check,114,221,125313785
28,check,118,217,125313786
29,check,126,206,125313798
30,check,130,201,125313799
31,check,144,185,125313811
32,check,158,169,125313823
33,check,173,152,125313835
34,check,187,135,125313847
35,check,201,122,125313859
36,check,213,112,125313872
37,check,217,109,125313885
