idx,label,x,y,timestamp
0,check,95,222,268278329
1,check,98,223,268278341
2,check,100,226,268278349
3,check,103,228,268278358
4,check,106,230,268278365
5,check,108,232,268278371
6,check,111,235,268278377
7,check,115,237,268278385
8,check,117,238,268278392
9,check,120,240,268278398
10,check,123,243,268278405
11,check,126,246,268278413
12,check,129,247,268278421
13,check,131,249,268278442
14,check,130,246,268278478
15,check,130,244,268278486
16,check,130,239,268278494
17,check,130,235,268278503
18,check,131,231,268278511
19,check,134,225,268278520
20,check,137,219,268278529
21,check,143,209,268278539
22,check,148,202,268278548
23,check,157,193,268278558
24,check,163,185,268278568
25,check,172,176,268278578
26,check,177,171,268278588
27,check,185,163,268278599
28,check,189,160,268278610
29,check,192,158,268278620
30,check,195,155,268278631
31,check,197,153,268278643
