idx,label,x,y,timestamp
0,check,90,192,11598418
1,check,92,193,11598446
2,check,94,196,11598461
3,check,96,198,11598474
4,check,98,200,11598482
5,check,100,202,11598490
6,check,102,204,11598498
7,check,104,207,11598506
8,check,106,211,11598514
9,check,108,214,11598522
10,check,110,217,11598534
11,check,111,219,11598541
12,check,112,221,11598549
13,check,113,223,11598557
14,check,115,225,11598567
15,check,117,225,11598596
16,check,118,222,11598605
17,check,119,220,11598617
18,check,119,216,11598626
19,check,120,213,11598636
20,check,122,206,11598646
21,check,124,202,11598656
22,check,127,194,11598667
23,check,130,187,11598678
24,check,132,185,11598689
25,check,134,182,11598690
26,check,139,174,11598701
27,check,143,169,11598713
28,check,144,167,11598714
29,check,149,162,11598726
30,check,152,158,11598738
31,check,158,151,11598750
32,check,160,148,11598763
33,check,165,144,11598776
34,check,166,141,11598789
35,check,168,138,11598802
36,check,170,136,11598815
37,check,172,134,11598842
38,check,172,132,11598874
