idx,label,x,y,timestamp
0,check,77,201,202533194
1,check,77,203,202533202
2,check,78,205,202533210
3,check,78,208,202533218
4,check,79,210,202533226
5,check,80,214,202533239
6,check,80,218,202533247
7,check,81,221,202533255
8,check,83,223,202533263
9,check,84,225,202533271
10,check,85,228,202533283
11,check,87,230,202533295
12,check,87,232,202533307
13,check,88,235,202533323
14,check,90,234,202533367
15,check,91,232,202533376
16,check,93,229,202533384
17,check,95,227,202533392
18,check,97,222,202533401
19,check,99,216,202533409
20,check,103,209,202533418
21,check,105,206,202533419
22,check,110,198,202533429
23,check,116,189,202533438
24,check,119,185,202533439
25,check,125,178,202533450
26,check,134,169,202533460
27,check,136,167,202533470
28,check,142,164,202533480
29,check,144,162,202533491
30,check,146,161,202533502
31,check,148,161,202533532
32,check,148,163,202533548
33,check,146,166,202533568
