idx,label,x,y,timestamp
0,check,44,208,123331997
1,check,46,208,123332018
2,check,49,205,123332034
3,check,51,204,123332042
4,check,54,203,123332050
5,check,57,203,123332058
6,check,60,202,123332066
7,check,62,202,123332074
8,check,65,204,123332082
9,check,69,206,123332090
10,check,72,207,123332098
11,check,75,209,123332105
12,check,77,211,123332106
13,check,80,216,123332116
14,check,84,221,123332125
15,check,86,225,123332126
16,check,89,230,123332136
17,check,93,236,123332145
18,check,96,240,123332153
19,check,97,242,123332154
20,check,99,244,123332165
21,check,101,247,123332166
22,check,103,248,123332178
23,check,105,249,123332191
24,check,107,246,123332203
25,check,109,243,123332213
26,check,111,236,123332224
27,check,114,227,123332235
28,check,117,219,123332246
29,check,122,207,123332257
30,check,130,192,123332269
31,check,139,177,123332281
32,check,151,165,123332293
33,check,164,151,123332305
34,check,177,143,123332318
35,check,189,133,123332330
36,check,193,130,123332331
37,check,204,124,123332346
38,check,207,122,123332347
39,check,214,117,123332363
40,check,218,115,123332376
