idx,label,x,y,timestamp
0,check,67,211,202522231
1,check,69,213,202522343
2,check,70,215,202522355
3,check,73,218,202522368
4,check,74,220,202522376
5,check,76,223,202522384
6,check,77,225,202522392
7,check,80,228,202522404
8,check,81,231,202522412
9,check,83,234,202522420
10,check,85,236,202522428
11,check,86,238,202522436
12,check,88,241,202522445
13,check,90,243,202522456
14,check,92,245,202522473
15,check,93,247,202522486
16,check,94,250,202522511
17,check,96,249,202522612
18,check,97,247,202522620
19,check,98,245,202522629
20,check,99,242,202522638
21,check,100,240,202522648
22,check,101,237,202522657
23,check,102,235,202522667
24,check,104,228,202522677
25,check,106,224,202522687
26,check,109,217,202522697
27,check,112,210,202522708
28,check,114,207,202522709
29,check,117,202,202522719
30,check,119,199,202522720
31,check,122,195,202522732
32,check,123,193,202522733
33,check,128,185,202522744
34,check,132,179,202522757
35,check,135,176,202522769
36,check,140,172,202522781
37,check,145,167,202522793
38,check,149,167,202522806
39,check,155,163,202522819
40,check,158,162,202522831
41,check,160,162,202522832
42,check,162,160,202522846
43,check,164,160,202522864
