idx,label,x,y,timestamp
0,check,105,232,268271890
1,check,108,232,268271910
2,check,110,232,268271918
3,check,112,234,268271927
4,check,115,235,268271934
5,check,117,237,268271943
6,check,120,239,268271951
7,check,123,241,268271959
8,check,126,242,268271967
9,check,129,244,268271975
10,check,132,246,268271983
11,check,135,248,268271991
12,check,137,250,268271999
13,check,139,251,268272008
14,check,141,252,268272019
15,check,143,255,268272036
16,check,143,253,268272084
17,check,143,250,268272112
18,check,142,248,268272126
19,check,143,246,268272135
20,check,143,243,268272146
21,check,143,241,268272155
22,check,144,238,268272165
23,check,145,231,268272174
24,check,147,227,268272184
25,check,150,221,268272194
26,check,152,217,268272205
27,check,158,209,268272215
28,check,165,199,268272226
29,check,170,193,268272238
30,check,173,190,268272239
31,check,181,182,268272252
32,check,191,172,268272264
33,check,199,166,268272276
34,check,207,162,268272289
35,check,214,157,268272301
36,check,220,157,268272313
37,check,223,156,268272326
38,check,228,156,268272339
39,check,230,156,268272354
