idx,label,x,y,timestamp
0,check,82,213,88633023
1,check,84,215,88633040
2,check,86,217,88633059
3,check,87,219,88633067
4,check,90,221,88633080
5,check,92,223,88633087
6,check,94,225,88633094
7,check,96,227,88633102
8,check,98,230,88633110
9,check,100,232,88633118
10,check,102,234,88633126
11,check,104,236,88633134
12,check,107,239,88633142
13,check,109,240,88633154
14,check,111,242,88633163
15,check,113,243,88633174
16,check,115,245,88633191
17,check,117,246,88633212
18,check,118,248,88633247
19,check,119,246,88633349
20,check,120,244,88633368
21,check,122,242,88633384
22,check,123,239,88633393
23,check,124,237,88633403
24,check,125,235,88633412
25,check,126,232,88633422
26,check,129,227,88633432
27,check,130,225,88633443
28,check,133,221,88633453
29,check,135,217,88633464
30,check,137,215,88633475
31,check,142,209,88633486
32,check,144,204,88633497
33,check,149,199,88633509
34,check,152,194,88633521
35,check,155,189,88633533
36,check,157,187,88633545
37,check,160,183,88633557
38,check,163,177,88633570
39,check,166,175,88633583
40,check,169,170,88633597
41,check,171,167,88633610
42,check,173,165,88633623
43,check,175,164,88633624
44,check,177,161,88633638
45,check,180,159,88633652
46,check,182,157,88633666
47,check,186,153,88633681
48,check,188,151,88633696
49,check,190,150,88633711
50,check,192,148,88633725
51,check,194,147,88633741
52,check,196,146,88633761
53,check,198,144,88633798
54,check,200,144,88633822
