idx,label,x,y,timestamp
0,check,64,208,121190832
1,check,64,211,121190848
2,check,65,213,121190856
3,check,67,216,121190864
4,check,69,217,121190872
5,check,71,221,121190881
6,check,74,224,121190889
7,check,77,226,121190897
8,check,80,230,121190905
9,check,83,233,121190913
10,check,85,235,121190921
11,check,88,237,121190929
12,check,89,239,121190937
13,check,92,240,121190944
14,check,94,243,121190953
15,check,96,245,121190965
16,check,98,247,121190985
17,check,97,245,121191030
18,check,96,243,121191039
19,check,96,241,121191047
20,check,96,238,121191057
21,check,96,230,121191066
22,check,96,226,121191076
23,check,97,218,121191086
24,check,98,214,121191096
25,check,100,205,121191107
26,check,102,198,121191117
27,check,103,195,121191118
28,check,105,189,121191129
29,check,106,186,121191131
30,check,110,177,121191142
31,check,114,167,121191154
32,check,116,163,121191166
33,check,117,160,121191167
34,check,119,155,121191179
35,check,121,147,121191191
36,check,122,144,121191204
37,check,122,141,121191216
38,check,122,137,121191229
39,check,122,134,121191243
