idx,label,x,y,timestamp
0,circle,126,150,118734289
1,circle,126,148,118734317
2,circle,125,150,118734353
3,circle,123,149,118734384
4,circle,121,148,118734413
5,circle,119,148,118734438
6,circle,117,149,118734461
7,circle,115,149,118734481
8,circle,112,148,118734506
9,circle,110,149,118734527
10,circle,108,150,118734543
11,circle,106,150,118734563
12,circle,104,152,118734580
13,circle,102,153,118734596
14,circle,100,154,118734613
15,circle,98,155,118734632
16,circle,95,157,118734653
17,circle,93,158,118734673
18,circle,91,159,118734689
19,circle,89,161,118734709
20,circle,87,163,118734730
21,circle,85,164,118734754
22,circle,83,166,118734779
23,circle,82,168,118734799
24,circle,81,171,118734822
25,circle,79,173,118734846
26,circle,78,175,118734870
27,circle,77,177,118734890
28,circle,76,179,118734902
29,circle,75,181,118734914
30,circle,73,184,118734938
31,circle,72,186,118734962
32,circle,71,189,118734982
33,circle,71,191,118734998
34,circle,70,193,118735015
35,circle,70,196,118735028
36,circle,69,198,118735044
37,circle,68,201,118735057
38,circle,68,203,118735080
39,circle,68,205,118735093
40,circle,68,207,118735108
41,circle,68,209,118735121
42,circle,67,212,118735134
43,circle,68,214,118735149
44,circle,68,216,118735162
45,circle,68,218,118735176
46,circle,68,221,118735196
47,circle,68,223,118735210
48,circle,68,225,118735224
49,circle,69,227,118735239
50,circle,69,229,118735255
51,circle,70,232,118735271
52,circle,71,234,118735287
53,circle,71,236,118735288
54,circle,72,238,118735305
55,circle,72,240,118735322
56,circle,73,242,118735339
57,circle,75,244,118735368
58,circle,76,246,118735385
59,circle,78,247,118735401
60,circle,78,249,118735419
61,circle,80,251,118735436
62,circle,83,253,118735456
63,circle,85,255,118735477
64,circle,87,257,118735495
65,circle,88,259,118735513
66,circle,89,261,118735532
67,circle,93,263,118735551
68,circle,95,265,118735577
69,circle,97,266,118735602
70,circle,99,267,118735622
71,circle,101,269,118735641
72,circle,103,269,118735661
73,circle,105,270,118735681
74,circle,107,271,118735701
75,circle,109,272,118735721
76,circle,112,273,118735723
77,circle,114,273,118735743
78,circle,116,273,118735764
79,circle,119,274,118735786
80,circle,121,274,118735787
81,circle,123,275,118735808
82,circle,125,275,118735833
83,circle,130,274,118735855
84,circle,131,276,118735877
85,circle,134,274,118735879
86,circle,136,274,118735901
87,circle,138,274,118735924
88,circle,142,274,118735948
89,circle,144,274,118735971
90,circle,148,272,118735995
91,circle,150,272,118736018
92,circle,152,270,118736043
93,circle,157,267,118736067
94,circle,159,266,118736092
95,circle,161,265,118736116
96,circle,165,262,118736141
97,circle,169,258,118736166
98,circle,172,255,118736191
99,circle,174,254,118736216
100,circle,176,250,118736242
101,circle,178,247,118736268
102,circle,180,242,118736295
103,circle,181,240,118736321
104,circle,182,236,118736348
105,circle,182,231,118736375
106,circle,182,228,118736402
107,circle,182,224,118736429
108,circle,182,219,118736456
109,circle,182,216,118736484
110,circle,181,212,118736511
111,circle,180,207,118736541
112,circle,179,202,118736569
113,circle,178,200,118736597
114,circle,177,198,118736625
115,circle,176,194,118736654
116,circle,175,192,118736682
117,circle,174,189,118736712
118,circle,171,184,118736762
119,circle,169,180,118736792
120,circle,168,178,118736822
121,circle,167,176,118736854
122,circle,165,173,118736884
123,circle,164,171,118736915
124,circle,162,171,118736945
125,circle,160,168,118736975
126,circle,156,166,118737007
127,circle,154,165,118737037
128,circle,150,162,118737069
129,circle,148,157,118737101
