idx,label,x,y,timestamp
0,circle,142,131,124963201
1,circle,140,131,124963206
2,circle,136,131,124963213
3,circle,133,131,124963222
4,circle,131,133,124963230
5,circle,128,134,124963238
6,circle,125,135,124963246
7,circle,123,136,124963253
8,circle,119,138,124963260
9,circle,116,140,124963266
10,circle,113,140,124963273
11,circle,111,141,124963274
12,circle,106,144,124963282
13,circle,104,145,124963290
14,circle,102,146,124963291
15,circle,97,150,124963299
16,circle,92,153,124963307
17,circle,88,157,124963316
18,circle,84,161,124963325
19,circle,79,166,124963334
20,circle,77,169,124963335
21,circle,73,174,124963344
22,circle,68,184,124963355
23,circle,65,191,124963365
24,circle,64,198,124963375
25,circle,64,204,124963385
26,circle,64,207,124963386
27,circle,65,209,124963397
28,circle,70,217,124963409
29,circle,77,222,124963420
30,circle,87,225,124963432
31,circle,98,227,124963444
32,circle,109,228,124963456
33,circle,121,226,124963469
34,circle,134,223,124963481
35,circle,138,221,124963482
36,circle,150,216,124963495
37,circle,162,209,124963509
38,circle,173,198,124963523
39,circle,178,189,124963537
40,circle,182,178,124963551
41,circle,182,171,124963565
42,circle,181,168,124963566
43,circle,179,162,124963581
44,circle,171,155,124963596
45,circle,162,152,124963611
46,circle,158,152,124963625
47,circle,155,151,124963626
48,circle,152,152,124963642
49,circle,150,153,124963657
50,circle,151,155,124963673
