idx,label,x,y,timestamp
0,circle,147,134,124963960
1,circle,144,134,124963968
2,circle,141,135,124963977
3,circle,138,137,124963985
4,circle,136,140,124963993
5,circle,133,141,124964001
6,circle,131,142,124964007
7,circle,127,144,124964014
8,circle,125,144,124964020
9,circle,120,145,124964027
10,circle,115,147,124964034
11,circle,109,149,124964042
12,circle,103,152,124964049
13,circle,98,156,124964057
14,circle,93,160,124964065
15,circle,88,164,124964074
16,circle,84,169,124964082
17,circle,81,174,124964091
18,circle,78,180,124964100
19,circle,75,185,124964109
20,circle,73,188,124964110
21,circle,71,195,124964120
22,circle,69,204,124964130
23,circle,70,211,124964140
24,circle,72,216,124964150
25,circle,77,221,124964160
26,circle,80,223,124964162
27,circle,85,226,124964172
28,circle,88,228,124964173
29,circle,95,228,124964185
30,circle,99,228,124964186
31,circle,110,228,124964198
32,circle,122,227,124964210
33,circle,135,223,124964222
34,circle,147,218,124964234
35,circle,158,212,124964247
36,circle,166,205,124964259
37,circle,173,196,124964272
38,circle,175,193,124964273
39,circle,178,184,124964287
40,circle,179,178,124964301
41,circle,177,174,124964302
42,circle,175,169,124964316
43,circle,172,166,124964317
44,circle,169,164,124964332
45,circle,163,160,124964346
46,circle,157,158,124964361
47,circle,155,158,124964376
48,circle,153,159,124964390
49,circle,155,160,124964434
50,circle,157,162,124964450
