idx,label,x,y,timestamp
0,circle,139,139,201911492
1,circle,135,137,201911500
2,circle,133,137,201911505
3,circle,130,135,201911512
4,circle,126,135,201911520
5,circle,122,136,201911528
6,circle,120,136,201911534
7,circle,117,137,201911540
8,circle,114,138,201911541
9,circle,111,140,201911547
10,circle,108,141,201911548
11,circle,105,143,201911555
12,circle,102,145,201911557
13,circle,95,149,201911564
14,circle,91,152,201911572
15,circle,88,156,201911573
16,circle,82,164,201911581
17,circle,76,172,201911589
18,circle,72,182,201911597
19,circle,69,191,201911606
20,circle,69,199,201911615
21,circle,72,209,201911624
22,circle,76,214,201911634
23,circle,82,217,201911643
24,circle,85,219,201911644
25,circle,92,221,201911654
26,circle,103,220,201911665
27,circle,112,218,201911675
28,circle,116,217,201911676
29,circle,125,212,201911687
30,circle,138,204,201911698
31,circle,147,193,201911709
32,circle,153,180,201911721
33,circle,155,167,201911733
34,circle,153,156,201911745
35,circle,150,150,201911757
36,circle,144,145,201911769
37,circle,140,145,201911781
38,circle,133,147,201911794
