idx,label,x,y,timestamp
0,circle,150,150,124951417
1,circle,150,148,124951474
2,circle,148,146,124951494
3,circle,147,143,124951510
4,circle,144,141,124951523
5,circle,142,140,124951534
6,circle,140,138,124951542
7,circle,137,136,124951550
8,circle,135,135,124951558
9,circle,132,135,124951566
10,circle,130,135,124951574
11,circle,127,135,124951583
12,circle,123,136,124951590
13,circle,121,137,124951599
14,circle,117,137,124951607
15,circle,114,138,124951614
16,circle,111,139,124951623
17,circle,108,141,124951631
18,circle,105,143,124951639
19,circle,102,145,124951648
20,circle,100,147,124951657
21,circle,97,149,124951667
22,circle,94,151,124951676
23,circle,90,159,124951686
24,circle,88,162,124951696
25,circle,85,168,124951707
26,circle,84,173,124951717
27,circle,83,176,124951728
28,circle,82,185,124951739
29,circle,81,189,124951750
30,circle,81,195,124951762
31,circle,81,197,124951763
32,circle,82,203,124951774
33,circle,84,208,124951787
34,circle,88,212,124951799
35,circle,91,215,124951811
36,circle,97,218,124951823
37,circle,101,220,124951836
38,circle,108,224,124951849
39,circle,117,225,124951863
40,circle,125,226,124951876
41,circle,135,226,124951890
42,circle,143,224,124951905
43,circle,152,222,124951919
44,circle,159,221,124951933
45,circle,161,220,124951935
46,circle,165,218,124951949
47,circle,168,217,124951950
48,circle,171,215,124951966
49,circle,173,214,124951967
50,circle,178,210,124951982
51,circle,179,206,124952001
52,circle,182,199,124952017
53,circle,182,193,124952033
54,circle,179,187,124952049
55,circle,178,185,124952050
56,circle,174,180,124952067
57,circle,171,175,124952084
58,circle,168,174,124952102
59,circle,165,170,124952119
60,circle,164,168,124952137
61,circle,162,167,124952154
