idx,label,x,y,timestamp
0,circle,134,163,10182780
1,circle,133,160,10182796
2,circle,132,158,10182808
3,circle,129,154,10182820
4,circle,126,152,10182827
5,circle,123,151,10182836
6,circle,121,151,10182842
7,circle,117,149,10182848
8,circle,115,148,10182855
9,circle,111,147,10182862
10,circle,106,147,10182870
11,circle,101,147,10182878
12,circle,96,148,10182886
13,circle,92,151,10182895
14,circle,88,154,10182903
15,circle,86,156,10182904
16,circle,82,161,10182913
17,circle,80,167,10182923
18,circle,78,177,10182933
19,circle,79,185,10182943
20,circle,81,190,10182944
21,circle,85,201,10182955
22,circle,94,217,10182965
23,circle,103,227,10182975
24,circle,117,239,10182987
25,circle,131,246,10182999
26,circle,144,249,10183011
27,circle,157,246,10183023
28,circle,161,244,10183024
29,circle,172,237,10183036
30,circle,182,226,10183049
31,circle,190,214,10183063
32,circle,193,192,10183077
33,circle,190,178,10183091
34,circle,175,158,10183106
35,circle,154,136,10183120
36,circle,138,125,10183135
37,circle,133,123,10183136
38,circle,120,128,10183150
39,circle,107,145,10183164
40,circle,100,160,10183179
41,circle,96,180,10183195
42,circle,97,184,10183196
43,circle,99,194,10183212
