idx,label,x,y,timestamp
0,circle,130,132,1164271
1,circle,127,129,1164276
2,circle,124,127,1164281
3,circle,119,127,1164287
4,circle,116,127,1164292
5,circle,114,128,1164298
6,circle,111,130,1164299
7,circle,108,132,1164305
8,circle,105,135,1164306
9,circle,102,138,1164313
10,circle,100,142,1164314
11,circle,95,151,1164322
12,circle,92,160,1164330
13,circle,90,170,1164338
14,circle,89,180,1164347
15,circle,89,190,1164355
16,circle,91,200,1164364
17,circle,94,208,1164374
18,circle,96,212,1164375
19,circle,100,217,1164384
20,circle,106,220,1164393
21,circle,115,221,1164403
22,circle,123,221,1164412
23,circle,130,217,1164422
24,circle,134,214,1164423
25,circle,142,209,1164433
26,circle,146,206,1164434
27,circle,153,200,1164445
28,circle,156,196,1164446
29,circle,165,183,1164458
30,circle,170,171,1164470
31,circle,170,159,1164482
32,circle,165,146,1164494
33,circle,154,133,1164507
34,circle,141,125,1164519
35,circle,129,125,1164532
36,circle,118,127,1164545
37,circle,109,134,1164558
38,circle,107,137,1164559
39,circle,105,139,1164579
