idx,label,x,y,timestamp
0,circle,121,166,118778377
1,circle,118,167,118778467
2,circle,116,167,118778483
3,circle,114,168,118778495
4,circle,111,169,118778507
5,circle,109,170,118778519
6,circle,106,171,118778531
7,circle,105,173,118778539
8,circle,102,174,118778551
9,circle,100,175,118778559
10,circle,98,176,118778571
11,circle,96,178,118778583
12,circle,94,181,118778596
13,circle,93,183,118778608
14,circle,91,185,118778621
15,circle,90,187,118778634
16,circle,89,189,118778643
17,circle,88,192,118778651
18,circle,87,194,118778662
19,circle,86,196,118778671
20,circle,85,198,118778682
21,circle,85,200,118778691
22,circle,84,203,118778703
23,circle,84,205,118778713
24,circle,83,208,118778722
25,circle,83,211,118778734
26,circle,83,213,118778745
27,circle,83,216,118778756
28,circle,84,219,118778766
29,circle,84,221,118778778
30,circle,85,224,118778790
31,circle,85,227,118778802
32,circle,85,229,118778813
33,circle,86,231,118778826
34,circle,86,234,118778838
35,circle,87,236,118778850
36,circle,87,239,118778862
37,circle,88,241,118778874
38,circle,89,243,118778887
39,circle,90,245,118778902
40,circle,91,247,118778918
41,circle,93,250,118778931
42,circle,93,252,118778945
43,circle,95,253,118778959
44,circle,96,255,118778973
45,circle,97,257,118778987
46,circle,100,258,118779001
47,circle,101,260,118779016
48,circle,105,264,118779031
49,circle,107,266,118779046
50,circle,109,269,118779066
51,circle,112,271,118779082
52,circle,114,273,118779098
53,circle,116,274,118779114
54,circle,118,276,118779130
55,circle,120,276,118779146
56,circle,122,278,118779147
57,circle,124,279,118779163
58,circle,126,280,118779180
59,circle,131,282,118779197
60,circle,133,282,118779214
61,circle,137,282,118779232
62,circle,139,282,118779250
63,circle,141,283,118779268
64,circle,145,282,118779286
65,circle,147,281,118779305
66,circle,152,279,118779324
67,circle,154,280,118779343
68,circle,156,279,118779362
69,circle,159,278,118779381
70,circle,163,276,118779401
71,circle,165,275,118779420
72,circle,167,274,118779440
73,circle,171,271,118779460
74,circle,173,270,118779480
75,circle,176,266,118779501
76,circle,177,264,118779521
77,circle,178,262,118779523
78,circle,179,260,118779543
79,circle,181,256,118779565
80,circle,181,253,118779586
81,circle,182,249,118779611
82,circle,182,244,118779633
83,circle,183,240,118779655
84,circle,184,236,118779678
85,circle,184,231,118779701
86,circle,184,229,118779725
87,circle,183,223,118779748
88,circle,183,221,118779771
89,circle,182,219,118779795
90,circle,182,217,118779818
91,circle,181,215,118779841
92,circle,179,211,118779865
93,circle,177,209,118779889
94,circle,176,206,118779913
95,circle,175,204,118779937
96,circle,171,200,118779962
97,circle,168,196,118779986
98,circle,166,194,118780011
99,circle,164,190,118780036
100,circle,161,189,118780062
101,circle,160,186,118780087
102,circle,158,186,118780113
103,circle,153,183,118780139
104,circle,151,181,118780164
105,circle,147,179,118780192
106,circle,143,177,118780221
