idx,label,x,y,timestamp
0,delete_mark,108,141,10337022
1,delete_mark,110,142,10337066
2,delete_mark,112,144,10337075
3,delete_mark,115,147,10337087
4,delete_mark,118,150,10337094
5,delete_mark,119,153,10337100
6,delete_mark,122,158,10337107
7,delete_mark,123,160,10337114
8,delete_mark,125,164,10337115
9,delete_mark,127,168,10337122
10,delete_mark,128,172,10337123
11,delete_mark,132,179,10337130
12,delete_mark,133,184,10337137
13,delete_mark,135,188,10337139
14,delete_mark,139,195,10337147
15,delete_mark,142,202,10337156
16,delete_mark,146,208,10337165
17,delete_mark,149,212,10337173
18,delete_mark,151,215,10337174
19,delete_mark,152,217,10337184
20,delete_mark,155,221,10337193
21,delete_mark,158,224,10337202
22,delete_mark,160,227,10337203
23,delete_mark,162,230,10337213
24,delete_mark,164,233,10337223
25,delete_mark,166,235,10337233
26,delete_mark,167,237,10337250
27,delete_mark,165,239,10337274
28,delete_mark,162,240,10337286
29,delete_mark,160,241,10337297
30,delete_mark,156,241,10337308
31,delete_mark,148,241,10337320
32,delete_mark,139,243,10337331
33,delete_mark,131,243,10337343
34,delete_mark,122,243,10337356
35,delete_mark,114,246,10337368
36,delete_mark,107,247,10337381
37,delete_mark,99,250,10337394
38,delete_mark,96,250,10337407
39,delete_mark,94,251,10337420
40,delete_mark,91,250,10337433
41,delete_mark,89,250,10337447
42,delete_mark,88,247,10337470
43,delete_mark,87,245,10337507
44,delete_mark,88,243,10337531
45,delete_mark,90,240,10337545
46,delete_mark,96,233,10337560
47,delete_mark,106,221,10337575
48,delete_mark,116,210,10337591
49,delete_mark,120,205,10337592
50,delete_mark,135,188,10337611
51,delete_mark,139,184,10337612
52,delete_mark,152,168,10337628
53,delete_mark,162,158,10337646
54,delete_mark,168,153,10337662
55,delete_mark,170,151,10337663
56,delete_mark,172,149,10337680
57,delete_mark,170,149,10337728
