idx,label,x,y,timestamp
0,delete_mark,94,155,120736223
1,delete_mark,95,157,120736371
2,delete_mark,97,158,120736411
3,delete_mark,98,160,120736434
4,delete_mark,99,163,120736451
5,delete_mark,100,165,120736459
6,delete_mark,102,167,120736476
7,delete_mark,104,169,120736488
8,delete_mark,105,172,120736496
9,delete_mark,107,175,120736508
10,delete_mark,110,177,120736520
11,delete_mark,111,179,120736528
12,delete_mark,113,182,120736536
13,delete_mark,114,184,120736545
14,delete_mark,116,186,120736553
15,delete_mark,117,189,120736562
16,delete_mark,119,192,120736570
17,delete_mark,120,194,120736578
18,delete_mark,122,197,120736587
19,delete_mark,123,200,120736596
20,delete_mark,125,203,120736605
21,delete_mark,127,205,120736614
22,delete_mark,129,207,120736626
23,delete_mark,131,209,120736635
24,delete_mark,132,211,120736645
25,delete_mark,134,212,120736659
26,delete_mark,135,214,120736671
27,delete_mark,137,216,120736687
28,delete_mark,139,219,120736703
29,delete_mark,140,222,120736719
30,delete_mark,141,224,120736735
31,delete_mark,141,226,120736751
32,delete_mark,143,228,120736791
33,delete_mark,143,230,120736808
34,delete_mark,144,232,120736836
35,delete_mark,142,233,120737071
36,delete_mark,139,233,120737087
37,delete_mark,137,232,120737104
38,delete_mark,134,232,120737117
39,delete_mark,132,231,120737130
40,delete_mark,127,230,120737143
41,delete_mark,121,231,120737157
42,delete_mark,118,231,120737171
43,delete_mark,112,231,120737185
44,delete_mark,106,232,120737199
45,delete_mark,101,232,120737214
46,delete_mark,97,233,120737228
47,delete_mark,94,233,120737243
48,delete_mark,91,233,120737258
49,delete_mark,89,233,120737273
50,delete_mark,87,233,120737289
51,delete_mark,84,232,120737307
52,delete_mark,82,233,120737308
53,delete_mark,80,233,120737328
54,delete_mark,78,233,120737349
55,delete_mark,76,235,120737369
56,delete_mark,74,234,120737410
57,delete_mark,75,232,120737525
58,delete_mark,76,230,120737542
59,delete_mark,78,227,120737559
60,delete_mark,82,223,120737577
61,delete_mark,86,219,120737595
62,delete_mark,93,212,120737613
63,delete_mark,98,207,120737632
64,delete_mark,102,202,120737651
65,delete_mark,109,194,120737670
66,delete_mark,116,185,120737690
67,delete_mark,120,180,120737710
68,delete_mark,131,167,120737751
69,delete_mark,137,158,120737781
70,delete_mark,139,156,120737807
71,delete_mark,141,153,120737836
