idx,label,x,y,timestamp
0,delete_mark,77,149,118469703
1,delete_mark,78,151,118469811
2,delete_mark,80,153,118469860
3,delete_mark,81,156,118469885
4,delete_mark,82,158,118469938
5,delete_mark,83,161,118469962
6,delete_mark,84,163,118469983
7,delete_mark,85,165,118470007
8,delete_mark,86,167,118470019
9,delete_mark,87,169,118470043
10,delete_mark,88,171,118470059
11,delete_mark,89,173,118470079
12,delete_mark,91,176,118470095
13,delete_mark,92,178,118470115
14,delete_mark,94,180,118470132
15,delete_mark,94,183,118470140
16,delete_mark,95,185,118470152
17,delete_mark,97,187,118470176
18,delete_mark,99,189,118470192
19,delete_mark,101,191,118470221
20,delete_mark,102,193,118470233
21,delete_mark,104,195,118470258
22,delete_mark,106,196,118470281
23,delete_mark,108,198,118470310
24,delete_mark,109,200,118470342
25,delete_mark,111,202,118470371
26,delete_mark,112,204,118470387
27,delete_mark,114,206,118470416
28,delete_mark,117,206,118470444
29,delete_mark,119,208,118470473
30,delete_mark,120,210,118470493
31,delete_mark,122,213,118470521
32,delete_mark,124,214,118470546
33,delete_mark,126,214,118470570
34,delete_mark,129,215,118470599
35,delete_mark,131,217,118470627
36,delete_mark,133,218,118470658
37,delete_mark,135,218,118470683
38,delete_mark,137,220,118470711
39,delete_mark,139,220,118470739
40,delete_mark,141,221,118470768
41,delete_mark,143,222,118470804
42,delete_mark,142,224,118470993
43,delete_mark,140,224,118471053
44,delete_mark,138,225,118471089
45,delete_mark,136,226,118471109
46,delete_mark,134,225,118471133
47,delete_mark,132,225,118471153
48,delete_mark,130,224,118471177
49,delete_mark,128,226,118471197
50,delete_mark,126,226,118471213
51,delete_mark,124,226,118471230
52,delete_mark,122,227,118471249
53,delete_mark,120,226,118471269
54,delete_mark,118,227,118471286
55,delete_mark,115,228,118471306
56,delete_mark,113,228,118471322
57,delete_mark,111,227,118471339
58,delete_mark,109,229,118471356
59,delete_mark,107,230,118471373
60,delete_mark,105,231,118471391
61,delete_mark,103,230,118471410
62,delete_mark,101,230,118471438
63,delete_mark,99,230,118471466
64,delete_mark,97,230,118471493
65,delete_mark,95,229,118471521
66,delete_mark,93,230,118471541
67,delete_mark,91,229,118471566
68,delete_mark,89,228,118471590
69,delete_mark,87,228,118471614
70,delete_mark,85,228,118471633
71,delete_mark,82,227,118471655
72,delete_mark,80,228,118471674
73,delete_mark,78,226,118471698
74,delete_mark,76,226,118471719
75,delete_mark,74,226,118471739
76,delete_mark,72,225,118471760
77,delete_mark,69,226,118471785
78,delete_mark,65,224,118471810
79,delete_mark,63,225,118471832
80,delete_mark,61,225,118471853
81,delete_mark,59,225,118471875
82,delete_mark,57,225,118471897
83,delete_mark,55,224,118471939
84,delete_mark,53,224,118471983
85,delete_mark,52,222,118472088
86,delete_mark,54,219,118472127
87,delete_mark,56,219,118472163
88,delete_mark,58,217,118472192
89,delete_mark,60,215,118472217
90,delete_mark,62,213,118472244
91,delete_mark,64,211,118472268
92,delete_mark,67,208,118472292
93,delete_mark,69,207,118472317
94,delete_mark,72,203,118472341
95,delete_mark,75,202,118472366
96,delete_mark,79,198,118472391
97,delete_mark,83,195,118472417
98,delete_mark,84,193,118472442
99,delete_mark,88,189,118472470
100,delete_mark,91,188,118472496
101,delete_mark,93,186,118472522
102,delete_mark,97,182,118472551
103,delete_mark,100,178,118472579
104,delete_mark,101,176,118472606
105,delete_mark,103,175,118472633
106,delete_mark,105,173,118472662
107,delete_mark,108,169,118472690
108,delete_mark,111,166,118472717
109,delete_mark,113,162,118472745
110,delete_mark,115,160,118472775
111,delete_mark,118,155,118472803
112,delete_mark,120,151,118472832
113,delete_mark,122,149,118472862
