idx,label,x,y,timestamp
0,delete_mark,97,152,120741201
1,delete_mark,97,154,120741306
2,delete_mark,99,156,120741334
3,delete_mark,102,158,120741351
4,delete_mark,103,160,120741359
5,delete_mark,105,161,120741371
6,delete_mark,108,163,120741383
7,delete_mark,109,165,120741391
8,delete_mark,111,166,120741399
9,delete_mark,114,169,120741411
10,delete_mark,116,172,120741419
11,delete_mark,118,174,120741431
12,delete_mark,120,175,120741443
13,delete_mark,122,178,120741451
14,delete_mark,124,179,120741460
15,delete_mark,126,181,120741468
16,delete_mark,128,183,120741476
17,delete_mark,130,184,120741488
18,delete_mark,133,187,120741500
19,delete_mark,135,189,120741512
20,delete_mark,137,192,120741524
21,delete_mark,138,194,120741533
22,delete_mark,140,196,120741543
23,delete_mark,142,201,120741553
24,delete_mark,143,203,120741563
25,delete_mark,145,205,120741572
26,delete_mark,147,207,120741584
27,delete_mark,148,209,120741596
28,delete_mark,150,212,120741612
29,delete_mark,152,212,120741628
30,delete_mark,152,214,120741639
31,delete_mark,154,217,120741650
32,delete_mark,155,219,120741662
33,delete_mark,156,221,120741681
34,delete_mark,158,222,120741705
35,delete_mark,159,224,120741722
36,delete_mark,160,226,120741755
37,delete_mark,161,228,120741803
38,delete_mark,160,226,120741992
39,delete_mark,157,226,120742013
40,delete_mark,155,226,120742026
41,delete_mark,152,226,120742040
42,delete_mark,147,226,120742054
43,delete_mark,144,226,120742068
44,delete_mark,138,226,120742082
45,delete_mark,133,227,120742096
46,delete_mark,128,226,120742111
47,delete_mark,125,228,120742126
48,delete_mark,123,226,120742141
49,delete_mark,121,227,120742156
50,delete_mark,116,229,120742171
51,delete_mark,113,229,120742187
52,delete_mark,108,230,120742203
53,delete_mark,105,230,120742220
54,delete_mark,101,231,120742236
55,delete_mark,97,232,120742252
56,delete_mark,95,232,120742254
57,delete_mark,92,233,120742270
58,delete_mark,90,233,120742288
59,delete_mark,88,233,120742305
60,delete_mark,86,234,120742348
61,delete_mark,87,231,120742517
62,delete_mark,89,228,120742535
63,delete_mark,93,223,120742553
64,delete_mark,98,218,120742572
65,delete_mark,104,209,120742591
66,delete_mark,113,196,120742610
67,delete_mark,120,186,120742630
68,delete_mark,124,177,120742650
69,delete_mark,132,167,120742670
70,delete_mark,136,161,120742690
71,delete_mark,143,154,120742710
72,delete_mark,147,149,120742730
73,delete_mark,150,145,120742751
74,delete_mark,151,143,120742771
75,delete_mark,152,141,120742792
