idx,label,x,y,timestamp
0,delete_mark,91,156,120728557
1,delete_mark,93,157,120728642
2,delete_mark,95,159,120728658
3,delete_mark,96,161,120728665
4,delete_mark,98,162,120728682
5,delete_mark,100,164,120728694
6,delete_mark,103,167,120728706
7,delete_mark,106,169,120728718
8,delete_mark,108,171,120728730
9,delete_mark,110,173,120728738
10,delete_mark,112,176,120728750
11,delete_mark,115,178,120728762
12,delete_mark,116,181,120728770
13,delete_mark,119,184,120728783
14,delete_mark,122,186,120728795
15,delete_mark,124,188,120728809
16,delete_mark,127,190,120728822
17,delete_mark,128,193,120728830
18,delete_mark,130,196,120728839
19,delete_mark,131,198,120728849
20,delete_mark,132,200,120728858
21,delete_mark,134,203,120728867
22,delete_mark,135,205,120728877
23,delete_mark,137,208,120728886
24,delete_mark,139,211,120728896
25,delete_mark,141,215,120728906
26,delete_mark,143,216,120728917
27,delete_mark,145,218,120728918
28,delete_mark,147,218,120728928
29,delete_mark,149,221,120728939
30,delete_mark,151,224,120728950
31,delete_mark,153,225,120728962
32,delete_mark,155,228,120728977
33,delete_mark,156,231,120728989
34,delete_mark,158,233,120729001
35,delete_mark,160,235,120729014
36,delete_mark,162,238,120729037
37,delete_mark,163,240,120729057
38,delete_mark,163,242,120729241
39,delete_mark,161,241,120729302
40,delete_mark,159,240,120729322
41,delete_mark,157,240,120729335
42,delete_mark,155,240,120729349
43,delete_mark,153,239,120729350
44,delete_mark,150,239,120729365
45,delete_mark,144,238,120729379
46,delete_mark,138,237,120729394
47,delete_mark,131,235,120729409
48,delete_mark,125,235,120729424
49,delete_mark,119,234,120729439
50,delete_mark,113,233,120729455
51,delete_mark,108,233,120729471
52,delete_mark,104,234,120729487
53,delete_mark,99,234,120729503
54,delete_mark,97,233,120729519
55,delete_mark,93,233,120729536
56,delete_mark,90,234,120729553
57,delete_mark,88,234,120729569
58,delete_mark,86,234,120729586
59,delete_mark,84,234,120729604
60,delete_mark,81,234,120729621
61,delete_mark,79,235,120729641
62,delete_mark,79,233,120729743
63,delete_mark,82,231,120729763
64,delete_mark,83,229,120729781
65,delete_mark,88,224,120729800
66,delete_mark,93,219,120729819
67,delete_mark,98,213,120729838
68,delete_mark,105,205,120729858
69,delete_mark,112,196,120729878
70,delete_mark,115,193,120729879
71,delete_mark,122,184,120729900
72,delete_mark,129,176,120729920
73,delete_mark,136,166,120729942
74,delete_mark,142,158,120729962
75,delete_mark,144,155,120729964
76,delete_mark,148,151,120729985
77,delete_mark,150,149,120730036
78,delete_mark,150,147,120730091
79,delete_mark,150,145,120730128
