idx,label,x,y,timestamp
0,delete_mark,124,133,267741836
1,delete_mark,126,135,267741904
2,delete_mark,128,138,267741912
3,delete_mark,130,141,267741920
4,delete_mark,132,145,267741929
5,delete_mark,134,147,267741935
6,delete_mark,137,153,267741942
7,delete_mark,139,156,267741949
8,delete_mark,140,159,267741950
9,delete_mark,142,161,267741957
10,delete_mark,144,164,267741958
11,delete_mark,148,171,267741966
12,delete_mark,152,176,267741974
13,delete_mark,156,183,267741982
14,delete_mark,160,189,267741990
15,delete_mark,164,195,267741999
16,delete_mark,168,200,267742008
17,delete_mark,174,209,267742017
18,delete_mark,176,211,267742027
19,delete_mark,181,217,267742037
20,delete_mark,182,220,267742038
21,delete_mark,185,225,267742048
22,delete_mark,188,228,267742058
23,delete_mark,190,232,267742068
24,delete_mark,193,238,267742078
25,delete_mark,196,243,267742089
26,delete_mark,197,246,267742100
27,delete_mark,199,249,267742111
28,delete_mark,201,251,267742122
29,delete_mark,202,254,267742133
30,delete_mark,202,256,267742149
31,delete_mark,200,255,267742197
32,delete_mark,198,253,267742214
33,delete_mark,196,253,267742235
34,delete_mark,195,251,267742247
35,delete_mark,192,250,267742267
36,delete_mark,190,250,267742283
37,delete_mark,188,249,267742296
38,delete_mark,185,249,267742309
39,delete_mark,183,247,267742322
40,delete_mark,178,246,267742336
41,delete_mark,175,245,267742350
42,delete_mark,172,243,267742351
43,delete_mark,167,241,267742366
44,delete_mark,159,238,267742381
45,delete_mark,152,235,267742395
46,delete_mark,147,234,267742410
47,delete_mark,136,232,267742428
48,delete_mark,125,228,267742447
49,delete_mark,117,227,267742466
50,delete_mark,109,226,267742484
51,delete_mark,103,228,267742503
52,delete_mark,98,229,267742522
53,delete_mark,93,232,267742538
54,delete_mark,91,232,267742540
55,delete_mark,87,234,267742557
56,delete_mark,85,234,267742574
57,delete_mark,82,235,267742575
58,delete_mark,80,236,267742592
59,delete_mark,76,238,267742610
60,delete_mark,74,239,267742627
61,delete_mark,72,241,267742644
62,delete_mark,74,239,267742717
63,delete_mark,76,237,267742735
64,delete_mark,80,235,267742754
65,delete_mark,85,231,267742772
66,delete_mark,88,229,267742773
67,delete_mark,95,222,267742793
68,delete_mark,103,215,267742814
69,delete_mark,116,203,267742835
70,delete_mark,127,191,267742856
71,delete_mark,140,180,267742877
72,delete_mark,143,177,267742878
73,delete_mark,156,165,267742899
74,delete_mark,170,151,267742922
75,delete_mark,179,141,267742944
76,delete_mark,185,135,267742965
77,delete_mark,187,134,267742987
