idx,label,x,y,timestamp
0,delete_mark,88,143,117440894
1,delete_mark,89,145,117440931
2,delete_mark,89,148,117440939
3,delete_mark,90,150,117440947
4,delete_mark,91,152,117440954
5,delete_mark,93,155,117440963
6,delete_mark,93,157,117440969
7,delete_mark,95,161,117440976
8,delete_mark,95,164,117440982
9,delete_mark,97,168,117440989
10,delete_mark,98,172,117440996
11,delete_mark,99,174,117441002
12,delete_mark,99,177,117441004
13,delete_mark,101,181,117441012
14,delete_mark,103,185,117441020
15,delete_mark,104,189,117441028
16,delete_mark,106,193,117441037
17,delete_mark,107,197,117441045
18,delete_mark,109,201,117441053
19,delete_mark,111,204,117441062
20,delete_mark,113,209,117441071
21,delete_mark,114,211,117441072
22,delete_mark,116,213,117441082
23,delete_mark,118,216,117441091
24,delete_mark,119,219,117441092
25,delete_mark,121,221,117441102
26,delete_mark,123,224,117441113
27,delete_mark,125,227,117441123
28,delete_mark,127,229,117441134
29,delete_mark,129,232,117441145
30,delete_mark,130,234,117441155
31,delete_mark,131,237,117441167
32,delete_mark,132,239,117441178
33,delete_mark,130,240,117441266
34,delete_mark,127,239,117441279
35,delete_mark,125,237,117441291
36,delete_mark,120,237,117441303
37,delete_mark,117,236,117441316
38,delete_mark,110,234,117441329
39,delete_mark,107,234,117441342
40,delete_mark,103,234,117441343
41,delete_mark,99,233,117441356
42,delete_mark,93,233,117441370
43,delete_mark,87,232,117441385
44,delete_mark,82,232,117441399
45,delete_mark,80,232,117441413
46,delete_mark,78,232,117441414
47,delete_mark,75,232,117441429
48,delete_mark,73,232,117441444
49,delete_mark,71,233,117441459
50,delete_mark,69,233,117441474
51,delete_mark,68,231,117441568
52,delete_mark,69,229,117441584
53,delete_mark,72,223,117441600
54,delete_mark,76,218,117441616
55,delete_mark,82,208,117441633
56,delete_mark,88,200,117441649
57,delete_mark,94,190,117441667
58,delete_mark,103,179,117441686
59,delete_mark,110,171,117441704
60,delete_mark,117,161,117441722
61,delete_mark,124,151,117441740
62,delete_mark,128,145,117441758
63,delete_mark,131,140,117441780
64,delete_mark,132,138,117441781
65,delete_mark,133,135,117441800
66,delete_mark,134,133,117441818
