idx,label,x,y,timestamp
0,delete_mark,81,148,88221891
1,delete_mark,83,149,88221919
2,delete_mark,85,152,88221939
3,delete_mark,87,153,88221952
4,delete_mark,89,156,88221959
5,delete_mark,91,158,88221967
6,delete_mark,93,162,88221976
7,delete_mark,95,165,88221984
8,delete_mark,98,169,88221992
9,delete_mark,99,171,88221999
10,delete_mark,100,174,88222000
11,delete_mark,102,176,88222007
12,delete_mark,103,178,88222008
13,delete_mark,106,184,88222017
14,delete_mark,108,190,88222025
15,delete_mark,111,195,88222033
16,delete_mark,114,200,88222041
17,delete_mark,116,204,88222049
18,delete_mark,119,208,88222058
19,delete_mark,121,212,88222066
20,delete_mark,123,215,88222075
21,delete_mark,125,217,88222084
22,delete_mark,127,220,88222094
23,delete_mark,129,222,88222103
24,delete_mark,130,224,88222104
25,delete_mark,132,226,88222114
26,delete_mark,133,228,88222124
27,delete_mark,135,230,88222135
28,delete_mark,137,233,88222145
29,delete_mark,139,235,88222157
30,delete_mark,140,237,88222168
31,delete_mark,142,240,88222196
32,delete_mark,142,242,88222219
33,delete_mark,142,245,88222284
34,delete_mark,140,245,88222329
35,delete_mark,138,245,88222345
36,delete_mark,135,245,88222357
37,delete_mark,133,243,88222370
38,delete_mark,128,242,88222382
39,delete_mark,125,241,88222395
40,delete_mark,119,242,88222409
41,delete_mark,113,241,88222422
42,delete_mark,110,241,88222436
43,delete_mark,105,242,88222450
44,delete_mark,99,241,88222464
45,delete_mark,94,241,88222478
46,delete_mark,92,241,88222492
47,delete_mark,89,242,88222493
48,delete_mark,87,241,88222508
49,delete_mark,83,242,88222523
50,delete_mark,81,242,88222538
51,delete_mark,79,241,88222556
52,delete_mark,80,239,88222655
53,delete_mark,80,237,88222680
54,delete_mark,81,235,88222696
55,delete_mark,82,231,88222712
56,delete_mark,84,226,88222729
57,delete_mark,88,216,88222745
58,delete_mark,92,208,88222763
59,delete_mark,98,194,88222780
60,delete_mark,103,183,88222798
61,delete_mark,107,174,88222816
62,delete_mark,112,166,88222834
63,delete_mark,117,158,88222852
64,delete_mark,119,152,88222870
65,delete_mark,123,147,88222888
66,delete_mark,125,142,88222909
67,delete_mark,126,140,88222927
68,delete_mark,126,138,88222945
69,delete_mark,127,136,88222964
70,delete_mark,127,134,88222992
71,delete_mark,128,132,88223020
