idx,label,x,y,timestamp
0,delete_mark,81,133,202657449
1,delete_mark,84,135,202657457
2,delete_mark,88,138,202657465
3,delete_mark,90,140,202657470
4,delete_mark,92,142,202657476
5,delete_mark,97,144,202657482
6,delete_mark,99,146,202657488
7,delete_mark,103,151,202657494
8,delete_mark,105,155,202657500
9,delete_mark,108,158,202657501
10,delete_mark,110,161,202657508
11,delete_mark,112,164,202657509
12,delete_mark,117,171,202657517
13,delete_mark,119,174,202657525
14,delete_mark,121,177,202657526
15,delete_mark,125,184,202657534
16,delete_mark,129,191,202657542
17,delete_mark,132,197,202657551
18,delete_mark,135,202,202657560
19,delete_mark,136,204,202657561
20,delete_mark,139,209,202657571
21,delete_mark,142,214,202657581
22,delete_mark,143,216,202657582
23,delete_mark,145,220,202657592
24,delete_mark,148,222,202657602
25,delete_mark,150,224,202657612
26,delete_mark,148,224,202657662
27,delete_mark,144,222,202657672
28,delete_mark,137,218,202657683
29,delete_mark,128,215,202657694
30,delete_mark,120,213,202657705
31,delete_mark,116,212,202657706
32,delete_mark,108,210,202657718
33,delete_mark,104,210,202657719
34,delete_mark,91,212,202657731
35,delete_mark,79,215,202657744
36,delete_mark,71,218,202657756
37,delete_mark,67,220,202657769
38,delete_mark,64,222,202657770
39,delete_mark,65,220,202657798
40,delete_mark,72,214,202657812
41,delete_mark,85,201,202657827
42,delete_mark,97,189,202657841
43,delete_mark,102,184,202657842
44,delete_mark,116,170,202657858
45,delete_mark,121,165,202657859
46,delete_mark,139,151,202657875
47,delete_mark,148,143,202657889
48,delete_mark,151,143,202657891
49,delete_mark,156,138,202657906
50,delete_mark,158,138,202657921
