idx,label,x,y,timestamp
0,delete_mark,85,151,120775510
1,delete_mark,86,154,120775543
2,delete_mark,87,156,120775551
3,delete_mark,90,159,120775560
4,delete_mark,93,162,120775567
5,delete_mark,95,164,120775573
6,delete_mark,99,168,120775580
7,delete_mark,101,170,120775586
8,delete_mark,106,175,120775593
9,delete_mark,111,179,120775599
10,delete_mark,115,182,120775606
11,delete_mark,118,184,120775607
12,delete_mark,121,187,120775615
13,delete_mark,124,189,120775616
14,delete_mark,131,194,120775624
15,delete_mark,138,199,120775632
16,delete_mark,145,204,120775640
17,delete_mark,151,208,120775648
18,delete_mark,156,211,120775657
19,delete_mark,160,214,120775666
20,delete_mark,163,215,120775667
21,delete_mark,166,217,120775677
22,delete_mark,169,220,120775686
23,delete_mark,171,222,120775696
24,delete_mark,173,224,120775706
25,delete_mark,175,226,120775716
26,delete_mark,177,228,120775756
27,delete_mark,175,230,120775780
28,delete_mark,173,231,120775792
29,delete_mark,170,231,120775805
30,delete_mark,168,232,120775816
31,delete_mark,166,232,120775827
32,delete_mark,164,232,120775828
33,delete_mark,161,231,120775840
34,delete_mark,155,231,120775852
35,delete_mark,148,230,120775865
36,delete_mark,141,231,120775877
37,delete_mark,133,231,120775890
38,delete_mark,124,231,120775904
39,delete_mark,121,232,120775905
40,delete_mark,113,234,120775918
41,delete_mark,103,237,120775932
42,delete_mark,97,238,120775947
43,delete_mark,91,239,120775961
44,delete_mark,89,239,120775975
45,delete_mark,90,237,120776021
46,delete_mark,92,235,120776036
47,delete_mark,98,230,120776050
48,delete_mark,108,221,120776066
49,delete_mark,117,212,120776082
50,delete_mark,128,202,120776098
51,delete_mark,139,189,120776114
52,delete_mark,149,176,120776130
53,delete_mark,158,165,120776147
54,delete_mark,162,161,120776163
55,delete_mark,167,158,120776180
56,delete_mark,164,160,120776237
57,delete_mark,162,160,120776254
