idx,label,x,y,timestamp
0,delete_mark,87,138,117431412
1,delete_mark,88,140,117431460
2,delete_mark,89,142,117431485
3,delete_mark,91,144,117431505
4,delete_mark,93,144,117431521
5,delete_mark,96,146,117431537
6,delete_mark,98,147,117431557
7,delete_mark,100,149,117431573
8,delete_mark,102,151,117431589
9,delete_mark,104,153,117431605
10,delete_mark,106,155,117431625
11,delete_mark,108,157,117431641
12,delete_mark,110,159,117431653
13,delete_mark,112,161,117431666
14,delete_mark,114,163,117431682
15,delete_mark,115,165,117431695
16,delete_mark,117,167,117431708
17,delete_mark,118,170,117431720
18,delete_mark,120,172,117431732
19,delete_mark,122,174,117431748
20,delete_mark,123,176,117431757
21,delete_mark,125,179,117431768
22,delete_mark,126,182,117431777
23,delete_mark,127,184,117431787
24,delete_mark,129,186,117431797
25,delete_mark,131,189,117431808
26,delete_mark,132,191,117431818
27,delete_mark,133,194,117431829
28,delete_mark,135,196,117431839
29,delete_mark,136,198,117431850
30,delete_mark,139,200,117431861
31,delete_mark,140,203,117431873
32,delete_mark,142,205,117431884
33,delete_mark,146,209,117431896
34,delete_mark,149,211,117431908
35,delete_mark,150,214,117431920
36,delete_mark,152,216,117431933
37,delete_mark,154,218,117431945
38,delete_mark,156,219,117431958
39,delete_mark,158,219,117431971
40,delete_mark,159,222,117431984
41,delete_mark,161,223,117432004
42,delete_mark,162,225,117432069
43,delete_mark,162,222,117432100
44,delete_mark,160,224,117432144
45,delete_mark,157,224,117432160
46,delete_mark,155,223,117432176
47,delete_mark,153,223,117432191
48,delete_mark,150,222,117432206
49,delete_mark,146,222,117432221
50,delete_mark,142,221,117432236
51,delete_mark,140,221,117432252
52,delete_mark,138,221,117432253
53,delete_mark,133,221,117432269
54,delete_mark,129,220,117432285
55,delete_mark,125,219,117432302
56,delete_mark,123,219,117432319
57,delete_mark,118,220,117432336
58,delete_mark,115,221,117432353
59,delete_mark,110,221,117432370
60,delete_mark,106,220,117432388
61,delete_mark,101,222,117432406
62,delete_mark,96,223,117432424
63,delete_mark,92,223,117432443
64,delete_mark,88,225,117432461
65,delete_mark,83,226,117432480
66,delete_mark,80,226,117432498
67,delete_mark,76,226,117432517
68,delete_mark,74,226,117432536
69,delete_mark,72,226,117432555
70,delete_mark,70,227,117432575
71,delete_mark,69,224,117432676
72,delete_mark,71,221,117432701
73,delete_mark,74,219,117432721
74,delete_mark,76,217,117432741
75,delete_mark,81,210,117432762
76,delete_mark,86,205,117432782
77,delete_mark,92,197,117432804
78,delete_mark,98,191,117432825
79,delete_mark,103,185,117432846
80,delete_mark,109,179,117432868
81,delete_mark,116,171,117432890
82,delete_mark,122,165,117432914
83,delete_mark,126,161,117432937
84,delete_mark,128,159,117432938
85,delete_mark,132,155,117432960
86,delete_mark,134,153,117432961
87,delete_mark,139,149,117432984
88,delete_mark,143,145,117433010
89,delete_mark,147,140,117433034
90,delete_mark,149,137,117433057
91,delete_mark,151,136,117433080
92,delete_mark,153,134,117433104
93,delete_mark,154,132,117433128
94,delete_mark,157,130,117433152
95,delete_mark,157,128,117433176
