idx,label,x,y,timestamp
0,delete_mark,80,120,267772701
1,delete_mark,80,122,267772709
2,delete_mark,81,125,267772716
3,delete_mark,82,128,267772721
4,delete_mark,84,131,267772727
5,delete_mark,89,140,267772733
6,delete_mark,92,146,267772739
7,delete_mark,95,151,267772740
8,delete_mark,102,164,267772749
9,delete_mark,106,171,267772755
10,delete_mark,110,177,267772756
11,delete_mark,119,191,267772765
12,delete_mark,128,204,267772773
13,delete_mark,136,218,267772781
14,delete_mark,145,228,267772788
15,delete_mark,152,238,267772796
16,delete_mark,158,246,267772805
17,delete_mark,162,253,267772813
18,delete_mark,165,258,267772822
19,delete_mark,167,261,267772831
20,delete_mark,168,264,267772840
21,delete_mark,168,267,267772849
22,delete_mark,166,269,267772861
23,delete_mark,164,270,267772872
24,delete_mark,158,269,267772882
25,delete_mark,150,264,267772892
26,delete_mark,142,260,267772903
27,delete_mark,130,254,267772914
28,delete_mark,116,249,267772925
29,delete_mark,102,247,267772937
30,delete_mark,90,249,267772948
31,delete_mark,80,253,267772961
32,delete_mark,73,255,267772973
33,delete_mark,69,256,267772984
34,delete_mark,67,256,267772996
35,delete_mark,67,252,267773009
36,delete_mark,71,242,267773022
37,delete_mark,78,230,267773035
38,delete_mark,88,214,267773048
39,delete_mark,92,207,267773049
40,delete_mark,104,190,267773063
41,delete_mark,120,167,267773077
42,delete_mark,129,152,267773091
43,delete_mark,132,148,267773092
44,delete_mark,140,137,267773107
45,delete_mark,142,134,267773108
46,delete_mark,147,127,267773123
47,delete_mark,150,124,267773137
48,delete_mark,152,122,267773152
