idx,label,x,y,timestamp
0,left_curly_brace,158,161,119485942
1,left_curly_brace,156,160,119485966
2,left_curly_brace,154,159,119485982
3,left_curly_brace,152,160,119485999
4,left_curly_brace,150,160,119486014
5,left_curly_brace,148,160,119486030
6,left_curly_brace,146,161,119486042
7,left_curly_brace,144,162,119486054
8,left_curly_brace,141,164,119486070
9,left_curly_brace,139,166,119486086
10,left_curly_brace,138,168,119486097
11,left_curly_brace,136,170,119486113
12,left_curly_brace,135,173,119486125
13,left_curly_brace,133,175,119486146
14,left_curly_brace,132,177,119486154
15,left_curly_brace,131,179,119486167
16,left_curly_brace,130,181,119486188
17,left_curly_brace,130,183,119486209
18,left_curly_brace,130,185,119486229
19,left_curly_brace,130,187,119486238
20,left_curly_brace,130,189,119486247
21,left_curly_brace,131,191,119486273
22,left_curly_brace,132,193,119486282
23,left_curly_brace,133,195,119486301
24,left_curly_brace,134,198,119486322
25,left_curly_brace,134,200,119486341
26,left_curly_brace,134,202,119486351
27,left_curly_brace,134,205,119486374
28,left_curly_brace,133,207,119486405
29,left_curly_brace,132,209,119486421
30,left_curly_brace,131,211,119486441
31,left_curly_brace,129,214,119486469
32,left_curly_brace,127,214,119486493
33,left_curly_brace,125,214,119486518
34,left_curly_brace,123,214,119486539
35,left_curly_brace,121,214,119486556
36,left_curly_brace,118,215,119486571
37,left_curly_brace,116,215,119486588
38,left_curly_brace,114,217,119486604
39,left_curly_brace,112,217,119486624
40,left_curly_brace,110,218,119486652
41,left_curly_brace,109,220,119486665
42,left_curly_brace,111,220,119486826
43,left_curly_brace,113,219,119486841
44,left_curly_brace,115,218,119486857
45,left_curly_brace,117,217,119486871
46,left_curly_brace,119,216,119486886
47,left_curly_brace,122,216,119486902
48,left_curly_brace,124,216,119486918
49,left_curly_brace,126,215,119486938
50,left_curly_brace,128,216,119486958
51,left_curly_brace,130,216,119486986
52,left_curly_brace,131,218,119487011
53,left_curly_brace,132,221,119487047
54,left_curly_brace,133,223,119487080
55,left_curly_brace,133,225,119487100
56,left_curly_brace,134,228,119487124
57,left_curly_brace,135,230,119487145
58,left_curly_brace,135,232,119487162
59,left_curly_brace,136,234,119487185
60,left_curly_brace,137,237,119487202
61,left_curly_brace,139,239,119487229
62,left_curly_brace,140,242,119487257
63,left_curly_brace,141,244,119487276
64,left_curly_brace,142,246,119487297
65,left_curly_brace,142,248,119487318
66,left_curly_brace,143,250,119487337
67,left_curly_brace,145,252,119487338
68,left_curly_brace,147,253,119487357
69,left_curly_brace,152,254,119487377
70,left_curly_brace,156,255,119487397
71,left_curly_brace,158,254,119487416
72,left_curly_brace,160,254,119487417
73,left_curly_brace,162,254,119487438
74,left_curly_brace,164,255,119487460
