idx,label,x,y,timestamp
0,left_curly_brace,132,123,201955846
1,left_curly_brace,130,124,201955878
2,left_curly_brace,128,123,201955910
3,left_curly_brace,126,124,201955929
4,left_curly_brace,124,126,201955950
5,left_curly_brace,122,126,201955970
6,left_curly_brace,120,128,201955987
7,left_curly_brace,117,129,201956004
8,left_curly_brace,115,131,201956024
9,left_curly_brace,114,133,201956032
10,left_curly_brace,112,134,201956048
11,left_curly_brace,111,137,201956060
12,left_curly_brace,109,139,201956084
13,left_curly_brace,108,142,201956096
14,left_curly_brace,106,144,201956121
15,left_curly_brace,106,146,201956138
16,left_curly_brace,106,149,201956154
17,left_curly_brace,105,151,201956171
18,left_curly_brace,105,154,201956186
19,left_curly_brace,105,156,201956199
20,left_curly_brace,105,158,201956211
21,left_curly_brace,105,160,201956223
22,left_curly_brace,105,162,201956236
23,left_curly_brace,106,165,201956247
24,left_curly_brace,106,167,201956264
25,left_curly_brace,107,169,201956280
26,left_curly_brace,108,171,201956296
27,left_curly_brace,109,173,201956308
28,left_curly_brace,111,176,201956333
29,left_curly_brace,112,178,201956357
30,left_curly_brace,114,178,201956381
31,left_curly_brace,116,180,201956405
32,left_curly_brace,117,183,201956437
33,left_curly_brace,119,184,201956461
34,left_curly_brace,121,185,201956478
35,left_curly_brace,124,185,201956494
36,left_curly_brace,125,187,201956506
37,left_curly_brace,127,186,201956523
38,left_curly_brace,129,188,201956564
39,left_curly_brace,130,190,201956611
40,left_curly_brace,128,189,201956659
41,left_curly_brace,126,191,201956683
42,left_curly_brace,124,191,201956708
43,left_curly_brace,121,191,201956736
44,left_curly_brace,119,192,201956756
45,left_curly_brace,117,192,201956772
46,left_curly_brace,113,194,201956811
47,left_curly_brace,111,195,201956851
48,left_curly_brace,110,197,201956852
49,left_curly_brace,112,197,201957000
50,left_curly_brace,116,198,201957042
51,left_curly_brace,118,198,201957057
52,left_curly_brace,121,197,201957073
53,left_curly_brace,123,198,201957089
54,left_curly_brace,125,197,201957129
55,left_curly_brace,123,198,201957234
56,left_curly_brace,120,198,201957259
57,left_curly_brace,118,200,201957279
58,left_curly_brace,116,201,201957295
59,left_curly_brace,114,202,201957312
60,left_curly_brace,112,204,201957329
61,left_curly_brace,110,207,201957346
62,left_curly_brace,106,212,201957364
63,left_curly_brace,105,216,201957382
64,left_curly_brace,105,220,201957400
65,left_curly_brace,106,227,201957420
66,left_curly_brace,110,234,201957439
67,left_curly_brace,111,237,201957458
68,left_curly_brace,113,238,201957459
69,left_curly_brace,118,241,201957478
70,left_curly_brace,125,244,201957500
71,left_curly_brace,130,244,201957519
72,left_curly_brace,132,246,201957538
73,left_curly_brace,134,247,201957558
74,left_curly_brace,136,247,201957578
75,left_curly_brace,138,248,201957603
76,left_curly_brace,138,246,201957756
