idx,label,x,y,timestamp
0,left_curly_brace,127,122,117102680
1,left_curly_brace,125,122,117102720
2,left_curly_brace,123,121,117102749
3,left_curly_brace,121,123,117102769
4,left_curly_brace,119,123,117102789
5,left_curly_brace,117,126,117102814
6,left_curly_brace,115,128,117102830
7,left_curly_brace,114,130,117102862
8,left_curly_brace,113,133,117102886
9,left_curly_brace,113,135,117102898
10,left_curly_brace,112,137,117102910
11,left_curly_brace,112,140,117102922
12,left_curly_brace,112,142,117102946
13,left_curly_brace,112,144,117102959
14,left_curly_brace,113,147,117102975
15,left_curly_brace,113,149,117102992
16,left_curly_brace,114,152,117103005
17,left_curly_brace,114,155,117103017
18,left_curly_brace,114,157,117103033
19,left_curly_brace,114,159,117103048
20,left_curly_brace,114,161,117103057
21,left_curly_brace,114,163,117103069
22,left_curly_brace,115,166,117103085
23,left_curly_brace,114,168,117103105
24,left_curly_brace,114,170,117103126
25,left_curly_brace,113,172,117103137
26,left_curly_brace,112,175,117103161
27,left_curly_brace,110,177,117103189
28,left_curly_brace,109,179,117103205
29,left_curly_brace,107,181,117103249
30,left_curly_brace,109,181,117103396
31,left_curly_brace,111,183,117103420
32,left_curly_brace,113,184,117103449
33,left_curly_brace,115,185,117103477
34,left_curly_brace,117,185,117103505
35,left_curly_brace,118,187,117103525
36,left_curly_brace,118,190,117103546
37,left_curly_brace,119,192,117103586
38,left_curly_brace,119,195,117103598
39,left_curly_brace,120,197,117103623
40,left_curly_brace,120,199,117103636
41,left_curly_brace,120,201,117103649
42,left_curly_brace,119,203,117103666
43,left_curly_brace,120,205,117103687
44,left_curly_brace,120,208,117103701
45,left_curly_brace,119,210,117103715
46,left_curly_brace,119,212,117103729
47,left_curly_brace,119,214,117103743
48,left_curly_brace,119,217,117103758
49,left_curly_brace,120,219,117103759
50,left_curly_brace,120,221,117103774
51,left_curly_brace,120,224,117103790
52,left_curly_brace,121,226,117103806
53,left_curly_brace,121,229,117103821
54,left_curly_brace,122,231,117103837
55,left_curly_brace,123,233,117103852
56,left_curly_brace,126,234,117103868
57,left_curly_brace,128,236,117103885
58,left_curly_brace,130,237,117103902
59,left_curly_brace,133,238,117103918
60,left_curly_brace,135,239,117103919
61,left_curly_brace,137,238,117103937
62,left_curly_brace,139,238,117103954
63,left_curly_brace,142,237,117103955
64,left_curly_brace,144,235,117103973
65,left_curly_brace,146,235,117103992
66,left_curly_brace,147,232,117104015
67,left_curly_brace,147,230,117104047
