idx,label,x,y,timestamp
0,left_curly_brace,144,130,11189400
1,left_curly_brace,144,127,11189408
2,left_curly_brace,142,127,11189506
3,left_curly_brace,140,127,11189534
4,left_curly_brace,138,127,11189550
5,left_curly_brace,136,128,11189566
6,left_curly_brace,134,128,11189577
7,left_curly_brace,132,129,11189589
8,left_curly_brace,129,129,11189601
9,left_curly_brace,128,132,11189609
10,left_curly_brace,126,132,11189621
11,left_curly_brace,124,133,11189633
12,left_curly_brace,122,135,11189650
13,left_curly_brace,119,137,11189666
14,left_curly_brace,117,138,11189683
15,left_curly_brace,116,140,11189696
16,left_curly_brace,114,143,11189708
17,left_curly_brace,112,145,11189728
18,left_curly_brace,112,148,11189737
19,left_curly_brace,111,150,11189756
20,left_curly_brace,111,152,11189765
21,left_curly_brace,110,154,11189776
22,left_curly_brace,111,156,11189785
23,left_curly_brace,111,159,11189796
24,left_curly_brace,112,161,11189809
25,left_curly_brace,113,164,11189821
26,left_curly_brace,113,166,11189833
27,left_curly_brace,114,168,11189844
28,left_curly_brace,116,171,11189856
29,left_curly_brace,117,173,11189868
30,left_curly_brace,118,175,11189879
31,left_curly_brace,119,177,11189892
32,left_curly_brace,120,179,11189904
33,left_curly_brace,121,181,11189917
34,left_curly_brace,122,183,11189930
35,left_curly_brace,124,186,11189947
36,left_curly_brace,125,188,11189963
37,left_curly_brace,126,190,11189979
38,left_curly_brace,127,192,11189992
39,left_curly_brace,128,194,11190005
40,left_curly_brace,128,196,11190019
41,left_curly_brace,129,199,11190032
42,left_curly_brace,129,201,11190063
43,left_curly_brace,127,201,11190148
44,left_curly_brace,125,201,11190188
45,left_curly_brace,123,200,11190220
46,left_curly_brace,121,200,11190248
47,left_curly_brace,119,199,11190276
48,left_curly_brace,117,199,11190308
49,left_curly_brace,115,199,11190349
50,left_curly_brace,117,199,11190443
51,left_curly_brace,119,199,11190475
52,left_curly_brace,121,199,11190500
53,left_curly_brace,123,199,11190533
54,left_curly_brace,125,200,11190578
55,left_curly_brace,127,200,11190683
56,left_curly_brace,128,202,11190779
57,left_curly_brace,130,203,11190889
58,left_curly_brace,129,205,11191073
59,left_curly_brace,128,207,11191097
60,left_curly_brace,126,210,11191153
61,left_curly_brace,125,212,11191177
62,left_curly_brace,124,214,11191197
63,left_curly_brace,123,216,11191237
64,left_curly_brace,123,218,11191257
65,left_curly_brace,122,220,11191275
66,left_curly_brace,122,223,11191301
67,left_curly_brace,122,225,11191320
68,left_curly_brace,122,227,11191339
69,left_curly_brace,122,230,11191358
70,left_curly_brace,122,232,11191378
71,left_curly_brace,123,234,11191398
72,left_curly_brace,123,236,11191420
73,left_curly_brace,123,239,11191421
74,left_curly_brace,124,241,11191445
75,left_curly_brace,125,244,11191466
76,left_curly_brace,126,246,11191486
77,left_curly_brace,127,248,11191508
78,left_curly_brace,128,252,11191529
79,left_curly_brace,129,254,11191551
80,left_curly_brace,133,258,11191577
81,left_curly_brace,135,260,11191599
82,left_curly_brace,137,262,11191621
83,left_curly_brace,139,264,11191643
84,left_curly_brace,141,264,11191666
85,left_curly_brace,143,264,11191688
86,left_curly_brace,145,266,11191712
