idx,label,x,y,timestamp
0,left_curly_brace,138,133,253075311
1,left_curly_brace,136,132,253075395
2,left_curly_brace,133,134,253075404
3,left_curly_brace,131,135,253075412
4,left_curly_brace,129,137,253075420
5,left_curly_brace,126,141,253075429
6,left_curly_brace,123,143,253075437
7,left_curly_brace,121,145,253075445
8,left_curly_brace,119,149,253075453
9,left_curly_brace,118,151,253075460
10,left_curly_brace,116,157,253075467
11,left_curly_brace,116,159,253075474
12,left_curly_brace,115,164,253075481
13,left_curly_brace,116,167,253075490
14,left_curly_brace,117,169,253075497
15,left_curly_brace,119,172,253075505
16,left_curly_brace,121,174,253075514
17,left_curly_brace,124,177,253075522
18,left_curly_brace,126,180,253075531
19,left_curly_brace,128,182,253075543
20,left_curly_brace,129,184,253075552
21,left_curly_brace,130,186,253075561
22,left_curly_brace,130,188,253075570
23,left_curly_brace,129,194,253075580
24,left_curly_brace,128,196,253075589
25,left_curly_brace,126,200,253075599
26,left_curly_brace,125,203,253075610
27,left_curly_brace,121,207,253075620
28,left_curly_brace,118,211,253075630
29,left_curly_brace,116,212,253075631
30,left_curly_brace,113,214,253075642
31,left_curly_brace,111,216,253075654
32,left_curly_brace,109,218,253075666
33,left_curly_brace,107,220,253075699
34,left_curly_brace,109,218,253075850
35,left_curly_brace,112,217,253075863
36,left_curly_brace,114,216,253075875
37,left_curly_brace,117,215,253075887
38,left_curly_brace,119,213,253075900
39,left_curly_brace,120,215,253075946
40,left_curly_brace,118,217,253075959
41,left_curly_brace,115,223,253075972
42,left_curly_brace,110,229,253075986
43,left_curly_brace,107,237,253076000
44,left_curly_brace,105,244,253076014
45,left_curly_brace,104,250,253076028
46,left_curly_brace,106,255,253076043
47,left_curly_brace,109,258,253076057
48,left_curly_brace,112,263,253076072
49,left_curly_brace,121,268,253076087
50,left_curly_brace,130,270,253076103
51,left_curly_brace,139,269,253076119
52,left_curly_brace,145,268,253076136
53,left_curly_brace,153,266,253076153
54,left_curly_brace,157,264,253076170
55,left_curly_brace,159,262,253076187
56,left_curly_brace,159,259,253076204
