idx,label,x,y,timestamp
0,left_curly_brace,124,134,121641926
1,left_curly_brace,123,132,121641963
2,left_curly_brace,121,134,121642023
3,left_curly_brace,119,133,121642048
4,left_curly_brace,117,135,121642076
5,left_curly_brace,115,135,121642093
6,left_curly_brace,113,135,121642109
7,left_curly_brace,111,136,121642125
8,left_curly_brace,109,136,121642141
9,left_curly_brace,107,137,121642157
10,left_curly_brace,104,138,121642172
11,left_curly_brace,102,138,121642188
12,left_curly_brace,100,139,121642201
13,left_curly_brace,98,141,121642217
14,left_curly_brace,96,142,121642234
15,left_curly_brace,94,144,121642255
16,left_curly_brace,93,147,121642276
17,left_curly_brace,91,149,121642297
18,left_curly_brace,91,151,121642309
19,left_curly_brace,90,153,121642321
20,left_curly_brace,90,155,121642330
21,left_curly_brace,90,157,121642339
22,left_curly_brace,90,161,121642353
23,left_curly_brace,91,163,121642365
24,left_curly_brace,91,165,121642375
25,left_curly_brace,92,168,121642386
26,left_curly_brace,92,170,121642397
27,left_curly_brace,93,172,121642407
28,left_curly_brace,94,174,121642418
29,left_curly_brace,94,176,121642433
30,left_curly_brace,95,179,121642448
31,left_curly_brace,96,182,121642464
32,left_curly_brace,97,184,121642477
33,left_curly_brace,98,186,121642491
34,left_curly_brace,99,188,121642505
35,left_curly_brace,99,190,121642519
36,left_curly_brace,100,192,121642533
37,left_curly_brace,100,194,121642546
38,left_curly_brace,101,197,121642570
39,left_curly_brace,101,199,121642590
40,left_curly_brace,101,201,121642607
41,left_curly_brace,100,204,121642635
42,left_curly_brace,99,206,121642660
43,left_curly_brace,98,208,121642673
44,left_curly_brace,96,208,121642704
45,left_curly_brace,96,210,121642718
46,left_curly_brace,94,210,121642737
47,left_curly_brace,92,211,121642766
48,left_curly_brace,89,212,121642799
49,left_curly_brace,88,214,121642906
50,left_curly_brace,88,212,121642922
51,left_curly_brace,88,214,121642970
52,left_curly_brace,90,214,121643022
53,left_curly_brace,92,214,121643051
54,left_curly_brace,94,215,121643080
55,left_curly_brace,96,215,121643103
56,left_curly_brace,98,215,121643148
57,left_curly_brace,99,217,121643201
58,left_curly_brace,99,219,121643218
59,left_curly_brace,98,221,121643237
60,left_curly_brace,97,224,121643261
61,left_curly_brace,96,226,121643285
62,left_curly_brace,94,229,121643317
63,left_curly_brace,92,231,121643344
64,left_curly_brace,91,233,121643368
65,left_curly_brace,90,236,121643389
66,left_curly_brace,89,239,121643410
67,left_curly_brace,88,241,121643430
68,left_curly_brace,87,243,121643461
69,left_curly_brace,87,246,121643485
70,left_curly_brace,87,248,121643504
71,left_curly_brace,87,250,121643529
72,left_curly_brace,88,252,121643549
73,left_curly_brace,89,254,121643569
74,left_curly_brace,91,256,121643590
75,left_curly_brace,93,259,121643610
76,left_curly_brace,95,260,121643631
77,left_curly_brace,99,264,121643651
78,left_curly_brace,101,264,121643672
79,left_curly_brace,104,266,121643693
80,left_curly_brace,106,267,121643715
81,left_curly_brace,110,267,121643737
82,left_curly_brace,112,267,121643758
83,left_curly_brace,114,266,121643780
84,left_curly_brace,117,266,121643814
85,left_curly_brace,119,265,121643870
