idx,label,x,y,timestamp
0,left_sq_bracket,153,117,202071806
1,left_sq_bracket,151,117,202071867
2,left_sq_bracket,148,117,202071878
3,left_sq_bracket,146,118,202071887
4,left_sq_bracket,143,118,202071895
5,left_sq_bracket,140,118,202071902
6,left_sq_bracket,137,119,202071910
7,left_sq_bracket,134,119,202071918
8,left_sq_bracket,130,119,202071926
9,left_sq_bracket,127,120,202071934
10,left_sq_bracket,124,121,202071942
11,left_sq_bracket,122,121,202071950
12,left_sq_bracket,119,122,202071962
13,left_sq_bracket,117,123,202071998
14,left_sq_bracket,117,125,202072139
15,left_sq_bracket,116,127,202072196
16,left_sq_bracket,116,129,202072233
17,left_sq_bracket,115,131,202072307
18,left_sq_bracket,115,133,202072318
19,left_sq_bracket,115,137,202072326
20,left_sq_bracket,114,140,202072335
21,left_sq_bracket,114,144,202072344
22,left_sq_bracket,114,146,202072353
23,left_sq_bracket,113,155,202072363
24,left_sq_bracket,113,160,202072373
25,left_sq_bracket,113,169,202072383
26,left_sq_bracket,113,175,202072393
27,left_sq_bracket,113,183,202072403
28,left_sq_bracket,112,189,202072414
29,left_sq_bracket,111,193,202072425
30,left_sq_bracket,110,201,202072436
31,left_sq_bracket,109,208,202072448
32,left_sq_bracket,108,213,202072459
33,left_sq_bracket,107,220,202072471
34,left_sq_bracket,106,223,202072483
35,left_sq_bracket,106,228,202072495
36,left_sq_bracket,105,232,202072507
37,left_sq_bracket,105,234,202072519
38,left_sq_bracket,104,236,202072558
39,left_sq_bracket,106,235,202072686
40,left_sq_bracket,109,234,202072699
41,left_sq_bracket,114,232,202072712
42,left_sq_bracket,121,232,202072726
43,left_sq_bracket,125,230,202072740
44,left_sq_bracket,132,232,202072778
45,left_sq_bracket,129,232,202072802
46,left_sq_bracket,128,230,202072841
