idx,label,x,y,timestamp
0,left_sq_bracket,157,128,88294553
1,left_sq_bracket,155,127,88294621
2,left_sq_bracket,153,128,88294629
3,left_sq_bracket,150,130,88294638
4,left_sq_bracket,147,132,88294645
5,left_sq_bracket,145,134,88294651
6,left_sq_bracket,141,135,88294657
7,left_sq_bracket,138,136,88294665
8,left_sq_bracket,136,136,88294671
9,left_sq_bracket,132,137,88294678
10,left_sq_bracket,128,138,88294685
11,left_sq_bracket,125,138,88294693
12,left_sq_bracket,122,140,88294701
13,left_sq_bracket,120,140,88294709
14,left_sq_bracket,117,141,88294722
15,left_sq_bracket,115,141,88294739
16,left_sq_bracket,114,143,88294800
17,left_sq_bracket,114,146,88294808
18,left_sq_bracket,114,149,88294821
19,left_sq_bracket,114,152,88294830
20,left_sq_bracket,114,156,88294839
21,left_sq_bracket,114,158,88294840
22,left_sq_bracket,114,163,88294850
23,left_sq_bracket,114,168,88294859
24,left_sq_bracket,114,170,88294860
25,left_sq_bracket,113,178,88294871
26,left_sq_bracket,113,189,88294881
27,left_sq_bracket,113,196,88294892
28,left_sq_bracket,113,199,88294893
29,left_sq_bracket,113,206,88294904
30,left_sq_bracket,113,209,88294905
31,left_sq_bracket,114,217,88294916
32,left_sq_bracket,114,222,88294928
33,left_sq_bracket,114,227,88294940
34,left_sq_bracket,114,230,88294941
35,left_sq_bracket,115,235,88294953
36,left_sq_bracket,115,239,88294965
37,left_sq_bracket,115,244,88294977
38,left_sq_bracket,115,247,88294990
39,left_sq_bracket,115,249,88295003
40,left_sq_bracket,117,250,88295053
41,left_sq_bracket,119,248,88295066
42,left_sq_bracket,123,246,88295080
43,left_sq_bracket,130,244,88295094
44,left_sq_bracket,135,244,88295108
45,left_sq_bracket,144,243,88295123
46,left_sq_bracket,152,241,88295138
47,left_sq_bracket,158,241,88295152
48,left_sq_bracket,165,241,88295167
49,left_sq_bracket,170,241,88295182
50,left_sq_bracket,174,240,88295198
51,left_sq_bracket,176,240,88295214
